LABELS
SEPARATOR COMMA
DATA
RS_GCF_001224225.1,Staphylococcus borealis
RS_GCF_000298075.1,Staphylococcus massiliensis
RS_GCF_001431205.1,Staphylococcus sp001431205
RS_GCF_001618885.1,Staphylococcus condimenti
RS_GCF_002732165.1,Staphylococcus xylosus
RS_GCF_002994445.1,Staphylococcus simulans_B
RS_GCF_002902345.1,Staphylococcus arlettae
RS_GCF_002902085.1,Staphylococcus simiae
RS_GCF_002901705.1,Staphylococcus lugdunensis
RS_GCF_002901865.1,Staphylococcus agnetis
RS_GCF_003019275.1,Staphylococcus muscae
RS_GCF_003012915.1,Staphylococcus felis
RS_GCF_002902385.1,Staphylococcus intermedius
RS_GCF_003491325.1,Staphylococcus warneri_A
RS_GCF_900458565.1,Staphylococcus equorum
RS_GCF_004785665.1,Staphylococcus pragensis
RS_GCF_017357005.1,Staphylococcus simiae_A
RS_GCF_943737015.1,Staphylococcus sp943737015
RS_GCF_022815905.1,Staphylococcus sp022815905
RS_GCF_022493055.1,Staphylococcus singaporensis
RS_GCF_000934465.1,Staphylococcus microti
RS_GCF_000236925.1,Staphylococcus argenteus
RS_GCF_900097965.1,Staphylococcus caeli
RS_GCF_002101335.1,Staphylococcus lutrae
RS_GCF_003043455.1,Staphylococcus simulans_A
RS_GCF_002902365.1,Staphylococcus cohnii
RS_GCF_002902725.1,Staphylococcus caprae
RS_GCF_003019255.1,Staphylococcus kloosii
RS_GCF_003718735.1,Staphylococcus debuckii
RS_GCF_900458815.1,Staphylococcus saccharolyticus
RS_GCF_006094395.1,Staphylococcus haemolyticus
RS_GCF_010365305.1,Staphylococcus sp010365305
RS_GCF_016238445.1,Staphylococcus canis
RS_GCF_016238465.1,Staphylococcus caledonicus
RS_GCF_900458895.1,Staphylococcus schleiferi
RS_GCF_900186985.1,Staphylococcus piscifermentans
GB_GCA_943908435.1,Staphylococcus sp943908435
GB_GCA_020544305.1,Staphylococcus taiwanensis
RS_GCF_000875895.1,Staphylococcus gallinarum
RS_GCF_001027105.1,Staphylococcus aureus
RS_GCF_000010125.1,Staphylococcus saprophyticus
RS_GCF_000338275.1,Staphylococcus xylosus_B
RS_GCF_000816085.1,Staphylococcus hyicus
RS_GCF_001500315.1,Staphylococcus auricularis
RS_GCF_001747895.1,Staphylococcus equorum_A
RS_GCF_900183575.1,Staphylococcus cornubiensis
RS_GCF_002614725.1,Staphylococcus edaphicus
RS_GCF_002902285.1,Staphylococcus simulans
RS_GCF_002901945.1,Staphylococcus chromogenes
RS_GCF_002902325.1,Staphylococcus capitis
RS_GCF_002902235.1,Staphylococcus ureilyticus
RS_GCF_002902305.1,Staphylococcus argensis
RS_GCF_002902685.1,Staphylococcus pettenkoferi
RS_GCF_002902405.1,Staphylococcus schweitzeri
RS_GCF_002902145.1,Staphylococcus rostri
RS_GCF_001792775.2,Staphylococcus pseudintermedius
RS_GCF_003970495.1,Staphylococcus pasteuri
RS_GCF_003697915.1,Staphylococcus pseudoxylosus
RS_GCF_013391405.1,Staphylococcus sp013391405
RS_GCF_015594545.1,Staphylococcus durrellii
RS_GCF_024814435.1,Staphylococcus sp024814435
RS_GCF_001006765.1,Staphylococcus succinus
RS_GCF_002902565.1,Staphylococcus petrasii
RS_GCF_002901845.1,Staphylococcus hominis
RS_GCF_002902625.1,Staphylococcus devriesei
RS_GCF_002901995.1,Staphylococcus coagulans
RS_GCF_900458435.1,Staphylococcus carnosus
RS_GCF_900636325.1,Staphylococcus delphini
RS_GCF_900636385.1,Staphylococcus warneri
RS_GCF_006742205.1,Staphylococcus epidermidis
RS_GCF_013463155.1,Staphylococcus sp013463155
RS_GCF_014635045.1,Staphylococcus nepalensis
RS_GCF_015775975.1,Staphylococcus lloydii
RS_GCF_017583065.1,Staphylococcus shinii
RS_GCF_020883535.1,Staphylococcus ratti
RS_GCF_002902575.1,Staphylococcus croceilyticus
RS_GCF_022346615.1,Staphylococcus sp022346615
