LABELS
SEPARATOR COMMA
DATA
RS_GCF_002214485.1,Thermococcus pacificus
GB_GCA_015522395.1,Thermococcus sp015522395
RS_GCF_002214505.1,Thermococcus siculi
RS_GCF_012027645.1,Thermococcus sp012027645
RS_GCF_904067545.1,Thermococcus camini
RS_GCF_001484195.1,Thermococcus celericrescens
RS_GCF_012027495.1,Thermococcus sp012027495
RS_GCF_006274605.1,Thermococcus indicus
RS_GCF_000221185.1,Thermococcus sp000221185
GB_GCA_011050175.1,Thermococcus sp011050175
RS_GCF_000265525.1,Thermococcus cleftensis
RS_GCF_002214365.1,Thermococcus celer
RS_GCF_002214525.1,Thermococcus sp002214525
RS_GCF_012027615.1,Thermococcus sp012027615
RS_GCF_002214565.1,Thermococcus radiotolerans
RS_GCF_002214545.1,Thermococcus thioreducens
RS_GCF_024707485.1,Thermococcus sp024707485
GB_GCA_015521605.1,Thermococcus sp015521605
RS_GCF_012027305.1,Thermococcus sp012027305
RS_GCF_002214465.1,Thermococcus barossii
RS_GCF_012027355.1,Thermococcus sp012027355
RS_GCF_001647085.1,Thermococcus piezophilus
RS_GCF_012027555.1,Thermococcus sp012027555
RS_GCF_012027395.1,Thermococcus sp012027395
RS_GCF_000018365.1,Thermococcus onnurineus
GB_GCA_021160985.1,Thermococcus sp021160985
RS_GCF_017873335.1,Thermococcus stetteri
RS_GCF_000009965.1,Thermococcus kodakarensis
RS_GCF_001592435.1,Thermococcus peptonophilus
RS_GCF_000258515.1,Thermococcus zilligii
RS_GCF_002214385.1,Thermococcus gorgonarius
RS_GCF_012027595.1,Thermococcus sp012027595
RS_GCF_002214585.1,Thermococcus profundus
GB_GCA_015523195.1,Thermococcus sp015523195
RS_GCF_012027635.1,Thermococcus sp012027635
RS_GCF_900198835.1,Thermococcus henrietii
RS_GCF_000585495.1,Thermococcus nautili
GB_GCA_015523185.1,Thermococcus sp015523185
RS_GCF_000769655.1,Thermococcus eurythermalis
RS_GCF_000151205.2,Thermococcus sp000151205
RS_GCF_000022365.1,Thermococcus gammatolerans
RS_GCF_000816105.1,Thermococcus guaymasensis
GB_GCA_013153595.1,Thermococcus sp013153595
GB_GCA_015520705.1,Thermococcus sp015520705
RS_GCF_000517445.1,Thermococcus_B paralvinellae
RS_GCF_012027325.1,Thermococcus_B sp012027325
GB_GCA_015662175.1,Thermococcus_B paralvinellae_A
RS_GCF_000151105.2,Thermococcus_B barophilus
GB_GCA_017656495.1,Thermococcus_B sp017656495
RS_GCF_020386975.1,Thermococcus_A bergensis
GB_GCA_001507935.1,Thermococcus_A sp001507935
RS_GCF_024054535.1,Thermococcus_A alcaliphilus
RS_GCF_001484685.1,Thermococcus_A sp001484685
RS_GCF_024022995.1,Thermococcus_A aggregans
GB_GCA_021157445.1,Thermococcus_A sp021157445
RS_GCF_023746595.1,Thermococcus_A sp023746595
RS_GCF_001317345.1,Thermococcus_A sp001317345
RS_GCF_012027425.1,Thermococcus_A sp012027425
GB_GCA_003663525.1,Thermococcus_A sp003663525
GB_GCA_003663535.1,Thermococcus_A sp003663535
RS_GCF_000022545.1,Thermococcus_A sibiricus
GB_GCA_002009975.1,Thermococcus_C sp002009975
