query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
A0A371K9U1|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
M0GN70|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.933	301	20	6	306	5	305	7.858E-214	672
A0A3G8DRD6|unreviewed|Saposin	WP_232049022.1@GCF_008326425.1	87	219	0.919	87	7	1	87	133	219	2.359E-59	207
A0A5P8LW38|unreviewed|Halocin	WP_164731977.1@GCF_000023965.1	316	309	1.000	309	0	8	316	1	309	1.297E-237	740
A0A510N5R3|unreviewed|Probable	WP_244289023.1@GCF_008124605.1	254	242	0.942	242	14	13	254	1	242	8.229E-172	547
D2S212|unreviewed|Halocin	WP_012945653.1@GCF_000025325.1	314	314	1.000	314	0	1	314	1	314	3.253E-239	744
I7BHG2|unreviewed|Halocin	WP_007110057.1@GCF_000731985.1	133	248	0.909	133	12	1	133	116	248	1.202E-89	299
A0A4P9TIX4|unreviewed|Halocin	WP_007110057.1@GCF_000731985.1	133	248	0.917	133	11	1	133	116	248	5.722E-92	305
A0A7K4FLI4|unreviewed|Saposin	EQB64365.1@GCA_001856825.1	215	215	1.000	215	0	1	215	1	215	2.412E-164	520
A0A0H2VGU6|unreviewed|Uncharacterized	WP_002456424.1@GCF_006742205.1	244	244	1.000	244	0	1	244	1	244	1.463E-193	606
D2RT16|unreviewed|Halocin	WP_012943185.1@GCF_000025325.1	264	264	1.000	264	0	1	264	1	264	1.013E-202	634
A0A8T8E6W5|unreviewed|Halocin	WP_008893279.1@GCF_000337495.1	248	248	0.971	248	7	1	248	1	248	3.155E-183	578
A0A1H6FZD9|unreviewed|Halocin	WP_175459731.1@GCF_900108095.1	299	289	1.000	289	0	11	299	1	289	7.868E-221	690
A0A841HDW6|unreviewed|Halocin	WP_136361702.1@GCF_008124605.1	253	296	1.000	250	0	1	250	1	250	3.143E-192	603
A0A895AJV8|unreviewed|Halocin	WP_136361702.1@GCF_008124605.1	296	296	1.000	296	0	1	296	1	296	2.847E-230	716
A0A1N5WFV7|unreviewed|Saposin	WP_148690163.1@GCF_900083515.1	206	206	1.000	206	0	1	206	1	206	4.755E-158	501
L0JJ00|unreviewed|Twin-arginine	WP_015298689.1@GCF_000230735.2	273	273	1.000	273	0	1	273	1	273	7.439E-208	650
A0A5Q0UL39|unreviewed|Uncharacterized	WP_153552385.1@GCF_009617995.1	237	265	0.995	237	1	1	237	29	265	5.144E-182	572
A0A1M7C1A1|unreviewed|Halocin	WP_139025500.1@GCF_000376445.1	287	287	1.000	287	0	1	287	1	287	7.662E-219	683
A0A7Y0K5F6|unreviewed|Uncharacterized	WP_016202224.1@GCF_012933555.1	142	142	1.000	142	0	1	142	1	142	4.544E-106	346
A0A842PTS4|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
D4GQY8|unreviewed|Halocin|taxID:309800	WP_004043226.1@GCF_000025685.1	305	305	1.000	305	0	1	305	1	305	2.983E-233	726
I4EKE7|unreviewed|RHS	WP_238538535.1@GCF_000297255.1	177	181	0.994	177	1	1	177	5	181	1.985E-143	455
L0JZR0|unreviewed|Halocin	WP_157224598.1@GCF_000328685.1	241	264	1.000	241	0	1	241	24	264	1.275E-182	575
A0A558GC35|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
A0A6C0UTI0|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
A0A1H7T849|unreviewed|Halocin	WP_206536420.1@GCF_000336955.1	310	310	0.958	310	13	1	310	1	310	1.663E-228	714
M0HYN6|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	306	305	0.953	301	14	6	306	5	305	2.686E-218	684
A0A384L8J8|unreviewed|Halocin	WP_004043226.1@GCF_000025685.1	305	305	1.000	305	0	1	305	1	305	2.983E-233	726
A0A841HCK3|unreviewed|Halocin	WP_244289023.1@GCF_008124605.1	242	242	0.946	242	13	1	242	1	242	4.009E-173	548
