query	target	evalue	bits	tstart	tend
WP_157895742.1	WP_157895742.1@GCF_002214365.1	2.078E-144	460	1	230
WP_157895742.1	WP_051482183.1@GCF_000585495.1	5.015E-94	315	1	227
WP_157895742.1	WP_049684515.1@GCF_000763575.1	6.638E-68	239	1	213
WP_157895742.1	WP_072966919.1@GCF_900129115.1	6.006E-67	237	1	213
WP_157895742.1	CP033580.1_877@GCA_003722315.1	6.006E-67	237	1	206
WP_157895742.1	WP_073249923.1@GCF_900129265.1	7.537E-63	225	1	213
WP_157895742.1	WP_045174441.1@GCF_000955725.1	4.495E-61	220	1	218
WP_157895742.1	WP_011917013.1@GCF_000016545.1	5.024E-59	214	1	218
WP_157895742.1	WP_041723172.1@GCF_000166355.1	1.290E-58	213	1	218
WP_157895742.1	WP_135821802.1@GCF_004785955.1	1.595E-57	209	1	216
WP_157895742.1	WP_015790102.1@GCF_000023945.1	1.176E-51	192	22	235
WP_157895742.1	WP_008523941.1@GCF_000470655.1	4.128E-51	191	23	242
WP_157895742.1	WP_030478875.1@GCF_000719115.1	5.552E-42	164	2	238
WP_157895742.1	JAHRHA010000010.1_45@GCA_020027875.1	5.552E-42	164	5	217
WP_157895742.1	WP_258951629.1@GCF_024648825.1	1.039E-41	164	2	238
WP_157895742.1	WP_112256210.1@GCF_003287285.1	1.039E-41	164	5	225
WP_157895742.1	WP_095566912.1@GCF_002285795.1	1.039E-41	164	4	231
WP_157895742.1	WP_134132146.1@GCF_004366075.1	1.421E-41	163	4	216
WP_157895742.1	JAEHDK010000003.1_36@GCA_016880465.1	1.421E-41	163	5	217
WP_157895742.1	WP_089962332.1@GCF_900110955.1	2.660E-41	162	2	238
WP_157895742.1	WP_090104339.1@GCF_900104175.1	3.639E-41	162	2	238
WP_157895742.1	WP_119658022.1@GCF_003579925.1	3.639E-41	162	3	217
WP_157895742.1	WP_130388497.1@GCF_004216905.1	4.978E-41	162	4	216
WP_157895742.1	WP_106539426.1@GCF_003014555.1	4.978E-41	162	3	229
WP_157895742.1	WP_203933106.1@GCF_016863655.1	6.809E-41	161	5	206
WP_157895742.1	WP_227805058.1@GCF_001577775.1	6.809E-41	161	23	229
WP_157895742.1	MCA3748930.1@GCA_020253895.1	9.314E-41	161	7	220
WP_157895742.1	WP_121160295.1@GCF_003633685.1	1.274E-40	160	5	225
WP_157895742.1	WP_131339286.1@GCF_004331345.1	1.743E-40	160	4	216
WP_157895742.1	WP_171678732.1@GCF_013131805.1	2.384E-40	160	4	216
WP_157895742.1	MCL6439059.1@GCA_023511405.1	3.261E-40	159	6	218
WP_157895742.1	WP_132104863.1@GCF_004349105.1	3.261E-40	159	3	217
WP_157895742.1	WP_116952653.1@GCF_003427025.1	3.261E-40	159	3	217
WP_157895742.1	WP_131293911.1@GCF_004331435.1	3.261E-40	159	4	216
WP_157895742.1	MPZ26738.1@GCA_009377645.1	3.261E-40	159	5	229
WP_157895742.1	WP_229813049.1@GCF_014648475.1	4.460E-40	159	2	238
WP_157895742.1	WP_030473068.1@GCF_000974445.1	4.460E-40	159	2	238
