core_protein_id,assembly_accession,protein_id,contig_id,source,type,start,end,na1,strand,na2,metadata,description
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110048.1,NZ_JNCS01000004.1,Protein Homology,CDS,306025,306522,.,-,0,"ID=cds-WP_007110048.1;Parent=gene-ALTAJ2_RS10445;Dbxref=GenBank:WP_007110048.1;Name=WP_007110048.1;Ontology_term=GO:0009058,GO:0003824;gbkey=CDS;go_function=catalytic activity|0003824||IEA;go_process=biosynthetic process|0009058||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006184999.1;locus_tag=ALTAJ2_RS10445;product=adenylyltransferase/cytidyltransferase family protein;protein_id=WP_007110048.1;transl_table=11",adenylyltransferase/cytidyltransferase family protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110049.1,NZ_JNCS01000004.1,Protein Homology,CDS,306519,306959,.,-,0,ID=cds-WP_007110049.1;Parent=gene-ALTAJ2_RS10450;Dbxref=GenBank:WP_007110049.1;Name=WP_007110049.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110049.1;locus_tag=ALTAJ2_RS10450;product=hypothetical protein;protein_id=WP_007110049.1;transl_table=11,hypothetical protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110050.1,NZ_JNCS01000004.1,Protein Homology,CDS,307157,309040,.,+,0,"ID=cds-WP_007110050.1;Parent=gene-ALTAJ2_RS10455;Dbxref=GenBank:WP_007110050.1;Name=WP_007110050.1;Ontology_term=GO:0055085,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008456171.1;locus_tag=ALTAJ2_RS10455;product=SLC13 family permease;protein_id=WP_007110050.1;transl_table=11",SLC13 family permease
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110051.1,NZ_JNCS01000004.1,Protein Homology,CDS,309046,309225,.,-,0,ID=cds-WP_007110051.1;Parent=gene-ALTAJ2_RS10460;Dbxref=GenBank:WP_007110051.1;Name=WP_007110051.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110051.1;locus_tag=ALTAJ2_RS10460;product=hypothetical protein;protein_id=WP_007110051.1;transl_table=11,hypothetical protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110052.1,NZ_JNCS01000004.1,Protein Homology,CDS,309280,309591,.,-,0,ID=cds-WP_007110052.1;Parent=gene-ALTAJ2_RS10465;Dbxref=GenBank:WP_007110052.1;Name=WP_007110052.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006184996.1;locus_tag=ALTAJ2_RS10465;product=hypothetical protein;protein_id=WP_007110052.1;transl_table=11,hypothetical protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110053.1,NZ_JNCS01000004.1,Protein Homology,CDS,309675,310724,.,-,0,"ID=cds-WP_007110053.1;Parent=gene-ALTAJ2_RS10470;Dbxref=GenBank:WP_007110053.1;Name=WP_007110053.1;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110053.1;locus_tag=ALTAJ2_RS10470;product=ABC transporter ATP-binding protein;protein_id=WP_007110053.1;transl_table=11",ABC transporter ATP-binding protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110054.1,NZ_JNCS01000004.1,Protein Homology,CDS,310721,312634,.,-,0,"ID=cds-WP_007110054.1;Parent=gene-ALTAJ2_RS10475;Dbxref=GenBank:WP_007110054.1;Name=WP_007110054.1;Ontology_term=GO:0006826,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;go_process=iron ion transport|0006826||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006184994.1;locus_tag=ALTAJ2_RS10475;product=iron ABC transporter permease;protein_id=WP_007110054.1;transl_table=11",iron ABC transporter permease
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_049900695.1,NZ_JNCS01000004.1,Protein Homology,CDS,312639,313718,.,-,0,"ID=cds-WP_049900695.1;Parent=gene-ALTAJ2_RS10480;Dbxref=GenBank:WP_049900695.1;Name=WP_049900695.1;Ontology_term=GO:0042626,GO:0140359,GO:0055052;gbkey=CDS;go_component=ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006184992.1;locus_tag=ALTAJ2_RS10480;product=thiamine ABC transporter substrate binding subunit;protein_id=WP_049900695.1;transl_table=11",thiamine ABC transporter substrate binding subunit
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110056.1,NZ_JNCS01000004.1,Protein Homology,CDS,313827,314948,.,+,0,"ID=cds-WP_007110056.1;Parent=gene-ALTAJ2_RS10485;Dbxref=GenBank:WP_007110056.1;Name=WP_007110056.1;Ontology_term=GO:1905887,GO:0015562;gbkey=CDS;go_function=efflux transmembrane transporter activity|0015562||IEA;go_process=autoinducer AI-2 transmembrane transport|1905887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110056.1;locus_tag=ALTAJ2_RS10485;product=AI-2E family transporter;protein_id=WP_007110056.1;transl_table=11",AI-2E family transporter
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110057.1,NZ_JNCS01000004.1,Protein Homology,CDS,315049,315900,.,-,0,ID=cds-WP_007110057.1;Parent=gene-ALTAJ2_RS20085;Dbxref=GenBank:WP_007110057.1;Name=WP_007110057.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110057.1;locus_tag=ALTAJ2_RS20085;product=halocin C8-like domain-containing protein;protein_id=WP_007110057.1;transl_table=11,halocin C8-like domain-containing protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110058.1,NZ_JNCS01000004.1,Protein Homology,CDS,316128,316937,.,-,0,ID=cds-WP_007110058.1;Parent=gene-ALTAJ2_RS10495;Dbxref=GenBank:WP_007110058.1;Name=WP_007110058.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110058.1;locus_tag=ALTAJ2_RS10495;product=winged helix-turn-helix domain-containing protein;protein_id=WP_007110058.1;transl_table=11,winged helix-turn-helix domain-containing protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110059.1,NZ_JNCS01000004.1,Protein Homology,CDS,317248,317460,.,+,0,ID=cds-WP_007110059.1;Parent=gene-ALTAJ2_RS10500;Dbxref=GenBank:WP_007110059.1;Name=WP_007110059.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110059.1;locus_tag=ALTAJ2_RS10500;product=hypothetical protein;protein_id=WP_007110059.1;transl_table=11,hypothetical protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110060.1,NZ_JNCS01000004.1,Protein Homology,CDS,317468,319072,.,-,0,ID=cds-WP_007110060.1;Parent=gene-ALTAJ2_RS10505;Dbxref=GenBank:WP_007110060.1;Name=WP_007110060.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006184988.1;locus_tag=ALTAJ2_RS10505;product=hypothetical protein;protein_id=WP_007110060.1;transl_table=11,hypothetical protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_239647725.1,NZ_JNCS01000004.1,Protein Homology,CDS,319086,319295,.,-,0,ID=cds-WP_239647725.1;Parent=gene-ALTAJ2_RS10510;Dbxref=GenBank:WP_239647725.1;Name=WP_239647725.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008456189.1;locus_tag=ALTAJ2_RS10510;product=hypothetical protein;protein_id=WP_239647725.1;transl_table=11,hypothetical protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110062.1,NZ_JNCS01000004.1,Protein Homology,CDS,319678,320280,.,+,0,ID=cds-WP_007110062.1;Parent=gene-ALTAJ2_RS10515;Dbxref=GenBank:WP_007110062.1;Name=WP_007110062.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110062.1;locus_tag=ALTAJ2_RS10515;product=DUF5518 domain-containing protein;protein_id=WP_007110062.1;transl_table=11,DUF5518 domain-containing protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110063.1,NZ_JNCS01000004.1,Protein Homology,CDS,320348,321664,.,-,0,"ID=cds-WP_007110063.1;Parent=gene-ALTAJ2_RS10520;Dbxref=GenBank:WP_007110063.1;Name=WP_007110063.1;Ontology_term=GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006648445.1;locus_tag=ALTAJ2_RS10520;product=ABC transporter permease;protein_id=WP_007110063.1;transl_table=11",ABC transporter permease
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110064.1,NZ_JNCS01000004.1,Protein Homology,CDS,321661,322467,.,-,0,"ID=cds-WP_007110064.1;Parent=gene-ALTAJ2_RS10525;Dbxref=GenBank:WP_007110064.1;Name=WP_007110064.1;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008456194.1;locus_tag=ALTAJ2_RS10525;product=ABC transporter ATP-binding protein;protein_id=WP_007110064.1;transl_table=11",ABC transporter ATP-binding protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110065.1,NZ_JNCS01000004.1,Protein Homology,CDS,322580,322894,.,-,0,ID=cds-WP_007110065.1;Parent=gene-ALTAJ2_RS10530;Dbxref=GenBank:WP_007110065.1;Name=WP_007110065.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110065.1;locus_tag=ALTAJ2_RS10530;product=hypothetical protein;protein_id=WP_007110065.1;transl_table=11,hypothetical protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110066.1,NZ_JNCS01000004.1,Protein Homology,CDS,323231,324169,.,+,0,ID=cds-WP_007110066.1;Parent=gene-ALTAJ2_RS10535;Dbxref=GenBank:WP_007110066.1;Name=WP_007110066.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110066.1;locus_tag=ALTAJ2_RS10535;product=ABC transporter ATP-binding protein;protein_id=WP_007110066.1;transl_table=11,ABC transporter ATP-binding protein
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110067.1,NZ_JNCS01000004.1,Protein Homology,CDS,324166,325008,.,+,0,ID=cds-WP_007110067.1;Parent=gene-ALTAJ2_RS10540;Dbxref=GenBank:WP_007110067.1;Name=WP_007110067.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006184980.1;locus_tag=ALTAJ2_RS10540;product=ABC transporter permease;protein_id=WP_007110067.1;transl_table=11,ABC transporter permease
WP_007110057.1@GCF_000731985.1,GCF_000731985.1,WP_007110068.1,NZ_JNCS01000004.1,Protein Homology,CDS,325096,325803,.,+,0,"ID=cds-WP_007110068.1;Parent=gene-ALTAJ2_RS10545;Dbxref=GenBank:WP_007110068.1;Name=WP_007110068.1;Ontology_term=GO:0009052,GO:0004751;gbkey=CDS;gene=rpiA;go_function=ribose-5-phosphate isomerase activity|0004751||IEA;go_process=pentose-phosphate shunt%2C non-oxidative branch|0009052||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008456198.1;locus_tag=ALTAJ2_RS10545;product=ribose-5-phosphate isomerase RpiA;protein_id=WP_007110068.1;transl_table=11",ribose-5-phosphate isomerase RpiA
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183070.1,NC_019962.1,Protein Homology,CDS,3761683,3762111,.,+,0,"ID=cds-WP_006183070.1;Parent=gene-NATPE_RS18225;Dbxref=GenBank:WP_006183070.1,GeneID:14333304;Name=WP_006183070.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183070.1;locus_tag=NATPE_RS18225;product=hypothetical protein;protein_id=WP_006183070.1;transl_table=11",hypothetical protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183071.1,NC_019962.1,Protein Homology,CDS,3762131,3762838,.,-,0,"ID=cds-WP_006183071.1;Parent=gene-NATPE_RS18230;Dbxref=GenBank:WP_006183071.1,GeneID:14333305;Name=WP_006183071.1;Ontology_term=GO:0009052,GO:0004751;gbkey=CDS;gene=rpiA;go_function=ribose-5-phosphate isomerase activity|0004751||IEA;go_process=pentose-phosphate shunt%2C non-oxidative branch|0009052||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008456198.1;locus_tag=NATPE_RS18230;product=ribose-5-phosphate isomerase RpiA;protein_id=WP_006183071.1;transl_table=11",ribose-5-phosphate isomerase RpiA
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183072.1,NC_019962.1,Protein Homology,CDS,3762892,3763746,.,-,0,"ID=cds-WP_006183072.1;Parent=gene-NATPE_RS18235;Dbxref=GenBank:WP_006183072.1,GeneID:14333306;Name=WP_006183072.1;Ontology_term=GO:0055085,GO:0140359;gbkey=CDS;go_function=ABC-type transporter activity|0140359||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006648441.1;locus_tag=NATPE_RS18235;product=ABC transporter permease subunit;protein_id=WP_006183072.1;transl_table=11",ABC transporter permease subunit
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_015299278.1,NC_019962.1,Protein Homology,CDS,3763743,3764684,.,-,0,"ID=cds-WP_015299278.1;Parent=gene-NATPE_RS18240;Dbxref=GenBank:WP_015299278.1,GeneID:14333307;Name=WP_015299278.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007110066.1;locus_tag=NATPE_RS18240;product=ABC transporter ATP-binding protein;protein_id=WP_015299278.1;transl_table=11",ABC transporter ATP-binding protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183074.1,NC_019962.1,Protein Homology,CDS,3765003,3765314,.,+,0,"ID=cds-WP_006183074.1;Parent=gene-NATPE_RS18245;Dbxref=GenBank:WP_006183074.1,GeneID:14333308;Name=WP_006183074.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183074.1;locus_tag=NATPE_RS18245;product=hypothetical protein;protein_id=WP_006183074.1;transl_table=11",hypothetical protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183075.1,NC_019962.1,Protein Homology,CDS,3765425,3766174,.,+,0,"ID=cds-WP_006183075.1;Parent=gene-NATPE_RS18250;Dbxref=GenBank:WP_006183075.1,GeneID:14333309;Name=WP_006183075.1;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183075.1;locus_tag=NATPE_RS18250;product=ABC transporter ATP-binding protein;protein_id=WP_006183075.1;transl_table=11",ABC transporter ATP-binding protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183076.1,NC_019962.1,Protein Homology,CDS,3766171,3767463,.,+,0,"ID=cds-WP_006183076.1;Parent=gene-NATPE_RS18255;Dbxref=GenBank:WP_006183076.1,GeneID:14333310;Name=WP_006183076.1;Ontology_term=GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006648445.1;locus_tag=NATPE_RS18255;product=ABC transporter permease;protein_id=WP_006183076.1;transl_table=11",ABC transporter permease
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183077.1,NC_019962.1,Protein Homology,CDS,3767464,3768009,.,-,0,"ID=cds-WP_006183077.1;Parent=gene-NATPE_RS18260;Dbxref=GenBank:WP_006183077.1,GeneID:14333311;Name=WP_006183077.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183077.1;locus_tag=NATPE_RS18260;product=DUF5518 domain-containing protein;protein_id=WP_006183077.1;transl_table=11",DUF5518 domain-containing protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183078.1,NC_019962.1,Protein Homology,CDS,3768273,3768482,.,+,0,"ID=cds-WP_006183078.1;Parent=gene-NATPE_RS18265;Dbxref=GenBank:WP_006183078.1,GeneID:14333312;Name=WP_006183078.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183078.1;locus_tag=NATPE_RS18265;product=hypothetical protein;protein_id=WP_006183078.1;transl_table=11",hypothetical protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183079.1,NC_019962.1,Protein Homology,CDS,3768643,3770118,.,+,0,"ID=cds-WP_006183079.1;Parent=gene-NATPE_RS18270;Dbxref=GenBank:WP_006183079.1,GeneID:14333313;Name=WP_006183079.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183079.1;locus_tag=NATPE_RS18270;product=hypothetical protein;protein_id=WP_006183079.1;transl_table=11",hypothetical protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183080.1,NC_019962.1,Protein Homology,CDS,3770126,3770338,.,-,0,"ID=cds-WP_006183080.1;Parent=gene-NATPE_RS18275;Dbxref=GenBank:WP_006183080.1,GeneID:14333314;Name=WP_006183080.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183080.1;locus_tag=NATPE_RS18275;product=hypothetical protein;protein_id=WP_006183080.1;transl_table=11",hypothetical protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183081.1,NC_019962.1,Protein Homology,CDS,3770588,3771409,.,+,0,"ID=cds-WP_006183081.1;Parent=gene-NATPE_RS18280;Dbxref=GenBank:WP_006183081.1,GeneID:14333315;Name=WP_006183081.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183081.1;locus_tag=NATPE_RS18280;product=winged helix-turn-helix domain-containing protein;protein_id=WP_006183081.1;transl_table=11",winged helix-turn-helix domain-containing protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_015299281.1,NC_019962.1,Protein Homology,CDS,3771624,3772508,.,+,0,"ID=cds-WP_015299281.1;Parent=gene-NATPE_RS21555;Dbxref=GenBank:WP_015299281.1,GeneID:31829964;Name=WP_015299281.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015299281.1;locus_tag=NATPE_RS21555;product=halocin C8-like domain-containing protein;protein_id=WP_015299281.1;transl_table=11",halocin C8-like domain-containing protein
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183083.1,NC_019962.1,Protein Homology,CDS,3772726,3773841,.,-,0,"ID=cds-WP_006183083.1;Parent=gene-NATPE_RS18290;Dbxref=GenBank:WP_006183083.1,GeneID:14333317;Name=WP_006183083.1;Ontology_term=GO:1905887,GO:0015562;gbkey=CDS;go_function=efflux transmembrane transporter activity|0015562||IEA;go_process=autoinducer AI-2 transmembrane transport|1905887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006183083.1;locus_tag=NATPE_RS18290;product=AI-2E family transporter;protein_id=WP_006183083.1;transl_table=11",AI-2E family transporter
WP_015299281.1@GCF_000230735.2,GCF_000230735.2,WP_006183084.1,NC_019962.1,Protein Homology,CDS,3773940,3775061,.,+,0,"ID=cds-WP_006183084.1;Parent=gene-NATPE_RS18295;Dbxref=GenBank:WP_006183084.1,GeneID:14333318;Name=WP_006183084.1;Ontology_term=GO:0042626,GO:0140359,GO:0055052;gbkey=CDS;go_component=ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006108354.1;locus_tag=NATPE_RS18295;product=thiamine ABC transporter substrate binding subunit;protein_id=WP_006183084.1;transl_table=11",thiamine ABC transporter substrate binding subunit
