query,target,evalue,bits,tstart,tend,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,sboA,albA,albC,contig_id
WP_157895742.1,AOIR01000063.1_73,3.2880000000000004e-78,270,8,236,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans,False,False,True,AOIR01000063.1
NP_391617.1,AP017647.1_99,9.654e-35,152,124,433,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae A,Methanothermobacter A,Methanothermobacter A sp003584625,False,True,False,AP017647.1
WP_042691587.1,AP024710.1_2828,1.021e-17,99,140,307,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Leptolinea,Leptolinea sp012798615,False,True,False,AP024710.1
WP_042691587.1,ASPF01000032.1_15,1.907e-30,139,143,418,Archaea,Thermoproteota,Nitrososphaeria A,Caldarchaeales,Wolframiiraptoraceae,Geocrenenecus,Geocrenenecus sp000405685,False,True,False,ASPF01000032.1
NP_391617.1,ATMD01000002.1_311,1.4429999999999998e-67,249,127,413,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp001856825,False,True,False,ATMD01000002.1
WP_051482183.1,AXWR01000060.1_3,4.604e-33,139,1,201,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Meiothermus,Meiothermus taiwanensis,False,False,True,AXWR01000060.1
WP_042691587.1,AYMD01000001.1_319,2.366e-27,129,106,297,Archaea,Thermoproteota,Thermoprotei A,Sulfolobales,Acidilobaceae,Acidilobus,Acidilobus sp000495735,False,True,False,AYMD01000001.1
NP_391619.1,BBZX01000001.1_1054,9.875e-29,127,13,210,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dielma,Dielma sp001305055,False,False,True,BBZX01000001.1
WP_051482183.1,BDLO01000001.1_122,2.269e-35,146,4,202,Bacteria,Actinomycetota,Coriobacteriia,OPB41,UBA2279,EMTCatB1,EMTCatB1 sp001950395,False,False,True,BDLO01000001.1
WP_042691587.1,BDTD01000016.1_6,5.732e-17,97,19,263,Bacteria,Pseudomonadota,Gammaproteobacteria,Arenicellales,BMS3Bbin11,BMS3Bbin11,BMS3Bbin11 sp002897635,False,True,False,BDTD01000016.1
NP_391617.1,BDTO01000024.1_3,2.4760000000000003e-26,126,12,348,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,BMS3Bbin05 sp002897855,False,True,False,BDTO01000024.1
WP_157895742.1,BDUA01000003.1_2,9.288e-31,132,10,207,Bacteria,Actinomycetota,Thermoleophilia,BMS3ABIN01,BMS3ABIN01,BMS3ABIN01,BMS3ABIN01 sp002897715,False,False,True,BDUA01000003.1
NP_391617.1,BDUA01000018.1_10,4.208e-27,128,21,287,Bacteria,Actinomycetota,Thermoleophilia,BMS3ABIN01,BMS3ABIN01,BMS3ABIN01,BMS3ABIN01 sp002897715,False,True,False,BDUA01000018.1
NP_391617.1,BEHS01000118.1_6,6.891e-23,115,18,286,Bacteria,Armatimonadota,HRBIN16,HRBIN16,HRBIN16,HRBIN16,HRBIN16 sp002898895,False,True,False,BEHS01000118.1
WP_051482183.1,BIFP01000072.1_47,6.646999999999999e-39,156,5,205,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,Micromonospora sp005402585,False,False,True,BIFP01000072.1
NP_391619.1,BLLU01000033.1_38,8.066e-25,115,1,215,Bacteria,Bacillota A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,Acetatifactor sp011959105,False,False,True,BLLU01000033.1
WP_042691587.1,BPTK01000019.1_22,2.166e-23,117,124,310,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023705905,False,True,False,BPTK01000019.1
WP_042691587.1,BPTM01000013.1_7,2.076e-24,120,124,310,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,UBA460,UBA460 sp023705945,False,True,False,BPTM01000013.1
WP_042691587.1,BPTO01000121.1_2,1.2519999999999998e-22,115,85,262,Archaea,Asgardarchaeota,Heimdallarchaeia,UBA460,UBA460,18H4-34,18H4-34 sp023705985,False,True,False,BPTO01000121.1
WP_088863145.1,BQMV01000021.1_10,5.373e-69,253,134,440,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,UBA12294,UBA12294 sp022181005,False,True,False,BQMV01000021.1
WP_157895742.1,BQXY01000001.1_978,6.799e-31,133,1,204,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Clostridium AR,Clostridium AR sp024341905,False,False,True,BQXY01000001.1
NP_391619.1,BQXY01000004.1_257,2.172e-89,302,1,241,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Clostridium AR,Clostridium AR sp024341905,False,False,True,BQXY01000004.1
NP_391619.1,BROD01000001.1_3880,7.656e-89,301,1,240,Bacteria,Bacillota A,Clostridia,Clostridiales,Clostridiaceae,Inconstantimicrobium,Inconstantimicrobium sp024345225,False,False,True,BROD01000001.1
WP_088863145.1,CAADGT010000087.1_16,3.298e-70,257,137,443,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,OLB14,OLB14 sp900696595,False,True,False,CAADGT010000087.1
NP_391619.1,CAAEBO010000006.1_74,8.621e-87,295,1,241,Bacteria,Bacillota A,Clostridia,TANB77,CAG-508,Merdicola,Merdicola sp900754085,False,False,True,CAAEBO010000006.1
NP_391619.1,CAAEDU010000098.1_5,8.709e-28,124,36,227,Bacteria,Bacillota A,Clostridia,Christensenellales,CAG-917,Limadaptatus,Limadaptatus sp900754695,False,False,True,CAAEDU010000098.1
NP_391619.1,CAAEDX010000247.1_19,5.6209999999999996e-27,122,17,238,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Merdibacter,Merdibacter merdavium,False,False,True,CAAEDX010000247.1
WP_157895742.1,CAAEOA010000258.1_7,1.2690000000000001e-30,132,1,227,Bacteria,Bacillota A,Clostridia,Oscillospirales,Ruminococcaceae,HGM13222,HGM13222 sp900757485,False,False,True,CAAEOA010000258.1
NP_391619.1,CAAEUE010000002.1_56,2.526e-97,325,1,241,Bacteria,Bacillota A,Clostridia,TANB77,CAG-508,Merdicola,Merdicola sp900759015,False,False,True,CAAEUE010000002.1
NP_391619.1,CAAEZG010000027.1_55,2.217e-86,294,1,241,Bacteria,Bacillota A,Clostridia,Christensenellales,Pumilibacteraceae,UBA10677,UBA10677 sp900760475,False,False,True,CAAEZG010000027.1
NP_391619.1,CAAFEO010000098.1_9,3.991e-92,310,2,232,Bacteria,Bacillota A,Clostridia,Christensenellales,HGM11417,HGM11417,HGM11417 sp900761895,False,False,True,CAAFEO010000098.1
NP_391619.1,CAAFEO010000164.1_6,9.712e-34,141,1,219,Bacteria,Bacillota A,Clostridia,Christensenellales,HGM11417,HGM11417,HGM11417 sp900761895,False,False,True,CAAFEO010000164.1
NP_391619.1,CAAFES010000098.1_86,1.437e-88,300,1,238,Bacteria,Bacillota A,Clostridia,Christensenellales,Pumilibacteraceae,HGM11386,HGM11386 sp900761915,False,False,True,CAAFES010000098.1
