LABELS
SEPARATOR COMMA
DATA
WP_014732703.1_GCF_000306765.2,Haloferax mediterranei
WP_241433888.1_GCF_000337535.1,Natrialba aegyptia
WP_008458115.1_GCF_000337175.1,Natrinema gari
WP_161605605.1_GCF_000337135.1,Natrialba chahannaoensis
WP_155396796.1_GCF_000970305.1,Methanosarcina barkeri A
WP_076157611.1_GCF_001955925.1,Paenibacillus sp001955925
WP_247730522.1_GCF_023093535.1,Halovivax limisalsi
JAGXOR010000056.1_11_GCA_023659785.1,JAGXOR01 sp023659785
WP_153552228.1_GCF_009617995.1,Halomicrobium sp009617995
JAEXCH010000014.1_14_GCA_023402275.1,Methanoplasma sp023402275
WP_094227589.1_GCF_002243045.1,Methanolobus psychrotolerans
PXF52170.1_GCA_003194435.1,G60ANME1 sp003194435
QEXZ01000077.1_7_GCA_003160755.1,QEXZ01 sp003160755
WP_123067460.1_GCF_003719335.1,Paenibacillus amylolyticus D
NQE06396.1_GCA_013180605.1,QEXZ01 sp013180605
WP_132280169.1_GCF_004339095.1,Natranaerovirga hydrolytica
WP_175383825.1_GCF_013359905.1,Paenibacillus taichungensis
WP_188202341.1_GCF_904067545.1,Thermococcus camini
WP_220681389.1_GCF_019633745.1,Methanofollis formosanus
MTLP01000007.1_117_GCA_002009975.1,Thermococcus C sp002009975
CALUHR010000006.1_67_GCA_944320495.1,UBA71 sp944320495
WP_167895259.1_GCF_012027355.1,Thermococcus sp012027355
