ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
AEN07551.1@GCA_000224475.1	OTHER	0.002114	0.001252	0.000272	0.996362	
EQB64365.1@GCA_001856825.1	OTHER	0.000782	0.000168	0.000062	0.998988	
DAJC01000023.1_20@GCA_002498845.1	OTHER	0.000766	0.000161	0.000077	0.998996	
DARA01000066.1_3@GCA_002503135.1	OTHER	0.001645	0.002752	0.000082	0.995521	
PWKY01000076.1_62@GCA_003560595.1	OTHER	0.200306	0.102520	0.001289	0.695886	
CP040678.1_2475@GCA_005954745.1	TAT(Tat/SPI)	0.009101	0.587449	0.000703	0.402747	CS pos: 66-67. VSA-DE. Pr: 0.5143
SKSD01000001.1_94@GCA_007118145.1	TAT(Tat/SPI)	0.001278	0.996902	0.000232	0.001588	CS pos: 35-36. VGA-GD. Pr: 0.6403
WAKV01000040.1_2@GCA_015523185.1	SP(Sec/SPI)	0.950431	0.041083	0.003762	0.004724	CS pos: 29-30. AMA-MS. Pr: 0.7459
MCK4529253.1@GCA_023131835.1	SP(Sec/SPI)	0.632947	0.204151	0.030074	0.132828	CS pos: 57-58. AMA-CT. Pr: 0.5491
CP100465.1_75@GCA_024227995.1	TAT(Tat/SPI)	0.001275	0.997724	0.000145	0.000855	CS pos: 38-39. SQA-KD. Pr: 0.8063
MCS7130230.1@GCA_025058955.1	OTHER	0.005171	0.000862	0.001233	0.992734	
MCS7131040.1@GCA_025058955.1	OTHER	0.053150	0.000931	0.012516	0.933403	
WP_148183473.1@GCF_000008665.1	OTHER	0.001263	0.000380	0.000203	0.998154	
WP_021792159.1@GCF_000011185.1	OTHER	0.000782	0.000168	0.000062	0.998988	
WP_008479876.1@GCF_000297255.1	SP(Sec/SPI)	0.926649	0.047154	0.009670	0.016527	CS pos: 32-33. VAA-AP. Pr: 0.4437
WP_157224598.1@GCF_000328685.1	TAT(Tat/SPI)	0.009481	0.951658	0.006011	0.032850	CS pos: 29-30. ASG-NP. Pr: 0.3313
WP_239639938.1@GCF_000336775.1	OTHER	0.001106	0.000486	0.000065	0.998342	
WP_008892994.1@GCF_000337495.1	OTHER	0.003878	0.000421	0.000152	0.995549	
WP_008893279.1@GCF_000337495.1	OTHER	0.000923	0.005925	0.000053	0.993098	
WP_083864448.1@GCF_000337615.1	TAT(Tat/SPI)	0.037637	0.939388	0.000580	0.022396	CS pos: 35-36. VSA-ET. Pr: 0.9069
WP_007110057.1@GCF_000731985.1	OTHER	0.000768	0.000789	0.000046	0.998397	
WP_161958287.1@GCF_003430825.1	OTHER	0.001008	0.000595	0.000063	0.998334	
WP_211338378.1@GCF_003977755.1	OTHER	0.000800	0.004044	0.000057	0.995099	
WP_135825305.1@GCF_004765785.1	TAT(Tat/SPI)	0.001881	0.997048	0.000231	0.000840	CS pos: 44-45. ARA-DK. Pr: 0.6045
WP_135854137.1@GCF_004765815.2	TAT(Tat/SPI)	0.001169	0.998092	0.000192	0.000547	CS pos: 44-45. ARA-QK. Pr: 0.3830
WP_244289023.1@GCF_008124605.1	OTHER	0.001482	0.000171	0.000233	0.998114	
WP_174681857.1@GCF_013342145.1	OTHER	0.000861	0.003921	0.000051	0.995168	
WP_212922126.1@GCF_018333235.1	OTHER	0.001165	0.000244	0.000073	0.998517	
WP_234299077.1@GCF_021431925.1	TAT(Tat/SPI)	0.009205	0.718843	0.000492	0.271459	CS pos: 62-63. ASA-DA. Pr: 0.3649
WP_250867346.1@GCF_023684405.1	OTHER	0.003086	0.000406	0.000459	0.996049	
WP_175459731.1@GCF_900108095.1	SP(Sec/SPI)	0.704295	0.018432	0.010806	0.266467	CS pos: 21-22. AAA-LE. Pr: 0.5329
WP_197427780.1@GCF_900115675.1	OTHER	0.029086	0.017660	0.000147	0.953107	
WP_149453579.1@GCF_900538055.1	SP(Sec/SPI)	0.586714	0.312891	0.019573	0.080823	CS pos: 30-31. GSA-MD. Pr: 0.7742
WP_135663906.1@GCF_900880625.1	OTHER	0.120531	0.061287	0.006546	0.811636	
WP_079979488.1@GCF_004799665.1	TAT(Tat/SPI)	0.004902	0.955096	0.001285	0.038717	CS pos: 40-41. GFA-DK. Pr: 0.3304
WP_103159623.1@GCF_002901945.1	SP(Sec/SPI)	0.860158	0.000996	0.136123	0.002723	CS pos: 28-29. VSA-ES. Pr: 0.6409
WP_082233103.1@GCF_900166625.1	SP(Sec/SPI)	0.985688	0.001868	0.003122	0.009323	CS pos: 31-32. VYA-HS. Pr: 0.8394
NZ_FZMP01000010.1_36@GCF_900196725.1	OTHER	0.001107	0.000674	0.000496	0.997724	
