query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NC_019962.1_354	WP_015298689.1@GCF_000230735.2	273	273	1.000	273	0	1	273	1	273	7.439E-208	650
CALTXP010000111.1_2	WP_002456424.1@GCF_006742205.1	244	244	1.000	244	0	1	244	1	244	1.463E-193	606
NZ_PPQH01000083.1_2	WP_103159623.1@GCF_002901945.1	227	244	0.911	226	20	2	227	19	244	3.657E-166	527
NZ_AOLI01000017.1_204	WP_206536420.1@GCF_000336955.1	310	310	1.000	310	0	1	310	1	310	1.927E-238	741
NZ_ML974131.1_203	WP_202935063.1@GCF_004143485.2	289	289	1.000	289	0	1	289	1	289	1.571E-224	699
NZ_LT800499.1_1151	WP_082233103.1@GCF_900166625.1	261	261	1.000	261	0	1	261	1	261	3.012E-198	622
NZ_LR134263.1_321	WP_103159623.1@GCF_002901945.1	121	244	0.917	121	10	1	121	124	244	1.172E-89	297
NZ_JALLPK010000001.1_2583	WP_248907559.1@GCF_023276375.1	281	281	1.000	281	0	1	281	1	281	3.372E-215	672
NZ_AP019721.1_929	WP_002456424.1@GCF_006742205.1	244	244	1.000	244	0	1	244	1	244	1.463E-193	606
NZ_HG315690.1_1402	WP_049926653.1@GCF_000455345.1	263	263	1.000	263	0	1	263	1	263	3.941E-199	624
NZ_SBIS02000007.1_351	WP_202932656.1@GCF_004765815.2	288	288	1.000	288	0	1	288	1	288	9.432E-225	700
NZ_PDOF01000001.1_643	WP_110516892.1@GCF_003226345.1	262	262	1.000	262	0	1	262	1	262	5.080E-199	624
SKSD01000001.1_94	SKSD01000001.1_94@GCA_007118145.1	273	274	1.000	273	0	1	273	1	273	8.242E-216	672
NZ_AOII01000014.1_48	WP_083864448.1@GCF_000337615.1	241	258	1.000	241	0	1	241	18	258	5.790E-181	570
NZ_AOII01000036.1_36	WP_083864503.1@GCF_000337615.1	264	264	1.000	264	0	1	264	1	264	2.173E-202	634
NC_019962.1_2354	WP_081597641.1@GCF_000230735.2	270	270	1.000	270	0	1	270	1	270	1.655E-210	657
NC_018015.1_899	WP_014788716.1@GCF_000265525.1	313	313	1.000	313	0	1	313	1	313	3.274E-249	772
ATMD01000005.1_21	EQB64365.1@GCA_001856825.1	206	215	1.000	206	0	1	206	10	215	1.495E-157	499
NZ_AP017570.1_62	WP_197427780.1@GCF_900115675.1	345	374	1.000	345	0	1	345	30	374	2.441E-263	816
NZ_CAGS01000398.1_7	WP_008479858.1@GCF_000297255.1	292	292	1.000	292	0	1	292	1	292	2.714E-237	735
NZ_REFZ01000024.1_27	WP_124193256.1@GCF_003841465.1	279	279	1.000	279	0	1	279	1	279	7.661E-210	657
NZ_FOXI01000014.1_10	WP_197427780.1@GCF_900115675.1	345	374	1.000	345	0	1	345	30	374	2.441E-263	816
NZ_KZ614149.1_2911	WP_091587091.1@GCF_002886255.1	265	265	1.000	265	0	1	265	1	265	2.502E-203	636
NZ_LT671858.1_1752	WP_148690163.1@GCF_900083515.1	206	206	1.000	206	0	1	206	1	206	4.755E-158	501
NZ_KB913017.1_495	WP_006092146.1@GCF_000383975.1	274	274	1.000	274	0	1	274	1	274	2.691E-208	652
NZ_CP007061.1_33	WP_009762310.1@GCF_000230955.2	296	296	1.000	296	0	1	296	1	296	5.784E-226	704
NC_013202.1_958	WP_164731977.1@GCF_000023965.1	309	309	1.000	309	0	1	309	1	309	5.326E-238	740
NZ_AOIS01000027.1_81	WP_083870254.1@GCF_000337495.1	315	315	1.000	315	0	1	315	1	315	1.262E-244	759
NC_013966.1_286	WP_004043226.1@GCF_000025685.1	305	305	1.000	305	0	1	305	1	305	2.983E-233	726
NZ_JAJFAX010000001.1_346	WP_228090750.1@GCF_019710475.1	246	246	1.000	246	0	1	246	1	246	8.312E-189	593
