query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NZ_CP037968.1_2369	WP_220681389.1@GCF_019633745.1	308	307	1.000	307	0	1	307	1	307	2.515E-249	771
JAEXCH010000014.1_14	JAEXCH010000014.1_14@GCA_023402275.1	537	537	1.000	536	0	1	536	1	536	0.000E+00	1306
NZ_AOIP01000056.1_97	WP_241433888.1@GCF_000337535.1	354	353	1.000	353	0	1	353	1	353	6.589E-279	861
NZ_CP095757.1_544	WP_247730522.1@GCF_023093535.1	339	338	1.000	338	0	1	338	1	338	8.746E-273	842
NZ_AOIN01000078.1_1	WP_161605605.1@GCF_000337135.1	183	182	1.000	182	0	1	182	1	182	1.950E-139	445
QBUL01000183.1_4	NQE06396.1@GCA_013180605.1	317	316	1.000	316	0	1	316	1	316	8.980E-258	796
JAGXOR010000056.1_10	JAGXOR010000056.1_10@GCA_023659785.1	93	93	1.000	92	0	1	92	1	92	1.170E-67	231
JAEXCH010000013.1_27	JAEXCH010000013.1_27@GCA_023402275.1	378	378	1.000	377	0	1	377	1	377	1.872E-297	917
NC_007955.1_1059	WP_011499066.1@GCF_000013725.1	317	316	1.000	316	0	1	316	1	316	1.268E-254	788
NZ_JONQ01000011.1_150	WP_042686322.1@GCF_000711905.1	350	349	1.000	349	0	1	349	1	349	5.701E-278	858
PQXC01000011.1_2	PXF52170.1@GCA_003194435.1	458	457	1.000	457	0	1	457	1	457	0.000E+00	1131
NZ_SMGQ01000011.1_424	WP_132280169.1@GCF_004339095.1	404	403	1.000	403	0	1	403	1	403	1.495E-316	974
NC_017943.1_248	WP_014732703.1@GCF_000306765.2	360	359	1.000	359	0	1	359	1	359	4.843E-284	876
JAGXOR010000056.1_11	JAGXOR010000056.1_11@GCA_023659785.1	204	204	1.000	203	0	1	203	1	203	3.671E-158	501
MTLP01000007.1_117	MTLP01000007.1_117@GCA_002009975.1	331	331	1.000	330	0	1	330	1	330	3.919E-261	808
NZ_AOIJ01000063.1_217	WP_008458115.1@GCF_000337175.1	280	279	1.000	279	0	1	279	1	279	1.493E-221	690
NZ_CP044129.1_261	WP_153552228.1@GCF_009617995.1	355	354	1.000	354	0	1	354	1	354	1.695E-282	871
NZ_MBKP01000012.1_36	WP_094227589.1@GCF_002243045.1	318	317	1.000	317	0	1	317	1	317	7.314E-262	808
QEXZ01000077.1_7	QEXZ01000077.1_7@GCA_003160755.1	317	317	1.000	316	0	1	316	1	316	1.950E-258	798
