assembly_accession,accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
GCF_000306765.2,RS_GCF_000306765.2,0,99.25,0.0,417,f__Halobacteriaceae (UID96),263,0.0,3348782,85.76269615108124,4,2353403,60.27092429726481,3904707,RS_GCF_000306765.2,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax mediterranei,type strain of species,LPSN,f,1,1,2948884,2948884,2948884,2,2903,NC_017941.2,2948884,2,114,NC_017941.2,2903,5361,0,100,CP001868.2836853.2839768,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax;Haloferax mediterranei ATCC 33500,976176,976176,t,f,f,2948884,2948884,Complete Genome,ASM30676v2,na,PRJNA224116,SAMN02603397,none,none,none,2014-05-27,GCA_000306765.2,none,full,none,none,none,4,0,Haloferax mediterranei ATCC 33500,3821,na,6,4,1,2948884,2948884,321908,2014/05/27,0,2252,2,CGMCC 1.2087,"Institute of Microbiology, Chinese Academy of Sciences",523841,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax mediterranei,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax mediterranei;x__Haloferax mediterranei ATCC 33500,0,3904707,11,57,assembly from type material,3904707,0,none,3954,4,2948884,2,none,none,none,none,none,none,1473,NC_017941.2,1473,2721,0,100,CP001868.1745875.1747347,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax;Haloferax mediterranei ATCC 33500,0,19,57,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax mediterranei
GCF_000337535.1,RS_GCF_000337535.1,112,99.42,0.55,417,f__Halobacteriaceae (UID96),263,0.0,3898401,84.41090152742466,66,2862601,61.9845395983327,4618362,RS_GCF_000337535.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrialba;s__Natrialba aegyptia,type strain of species,LPSN,f,7,7,592335,592335,1201,4,1198,NZ_AOIP01000036.1,52535,1,114,NZ_AOIP01000034.1,1208,2113,0,98.344,AOIO01000040.405001.407974,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrialba;Natrialba asiatica DSM 12278,69975,69975,f,f,t,145225,145225,Contig,ASM33753v1,na,PRJNA224116,SAMN02471628,66,145225,none,2013-02-04,GCA_000337535.1,none,full,none,none,none,0,0,Natrialba aegyptia DSM 13077,4430,representative genome,12,none,none,none,none,none,2013/02/04,0,129789,5,DSM 13077,"University of California, Davis",1227491,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba aegyptia,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba aegyptia;x__Natrialba aegyptia DSM 13077,0,4618362,11,49,assembly from type material,4618362,0,AOIP00000000.1,4586,66,791,5,478,876,0,99.791,21979,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natrialba;s__aegyptia,480,NZ_AOIP01000004.1,480,887,0,100,AB663459.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrialba;Natrialba taiwanensis,0,19,49,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,Natrialba aegyptia
GCF_000337175.1,RS_GCF_000337175.1,144,99.3,0.13,417,f__Halobacteriaceae (UID96),263,0.0,3361953,83.55393504274184,88,2563909,63.72259011201059,4023692,RS_GCF_000337175.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema gari,type strain of species,LPSN,f,11,11,275461,275461,226394,11,1237,NZ_AOIJ01000049.1,129856,2,273,NZ_AOIJ01000058.1,1191,2172,0,99.58,CP003412.2539654.2542564,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrinema;Natrinema sp. J7-2,45723,45723,f,f,t,126340,126340,Contig,ASM33717v1,na,PRJNA224116,SAMN02471627,88,126340,none,2013-02-04,GCA_000337175.1,none,full,none,none,none,0,0,Natrinema gari JCM 14663,3997,representative genome,18,none,none,none,none,none,2013/02/04,0,419186,3,JCM 14663,"University of California, Davis",1230459,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrinema;s__Natrinema gari,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrinema;s__Natrinema gari;x__Natrinema gari JCM 14663,0,4023692,11,51,assembly from type material,4023692,0,AOIJ00000000.1,4149,88,275461,3,606,1090,0,99.175,545758,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloterrigena;s__gari,858,NZ_AOIJ01000051.1,606,1109,0,99.67,CP003412.577.2050,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrinema;Natrinema sp. J7-2,0,19,51,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema gari
GCF_000337135.1,RS_GCF_000337135.1,211,99.74,0.76,417,f__Halobacteriaceae (UID96),263,50.0,3626794,84.16252946552018,106,2603431,60.41756641757152,4309274,RS_GCF_000337135.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrialba;s__Natrialba chahannaoensis,type strain of species,LPSN,f,13,13,368253,368253,3284,2,2749,NZ_AOIN01000025.1,36181,1,104,NZ_AOIN01000024.1,2749,5066,0,100,AOIN01000025.1.2750,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrialba;Natrialba chahannaoensis JCM 10990,40653,40653,t,f,f,129612,129612,Contig,ASM33713v1,na,PRJNA224116,SAMN02471674,106,129612,none,2013-02-04,GCA_000337135.1,none,full,none,none,none,0,0,Natrialba chahannaoensis JCM 10990,4031,representative genome,7,none,none,none,none,none,2013/02/04,0,68911,1,JCM 10990,"University of California, Davis",1227492,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba chahannaoensis,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba chahannaoensis;x__Natrialba chahannaoensis JCM 10990,0,4309274,11,48,assembly from type material,4309274,0,AOIN00000000.1,4262,106,1634,1,1241,2278,0,99.758,686537,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natrialba;s__chahannaoensis,1563,NZ_AOIN01000039.1,1551,2861,0,100,AOIN01000039.15.1565,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrialba;Natrialba chahannaoensis JCM 10990,0,19,48,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,Natrialba chahannaoensis
GCF_000970305.1,RS_GCF_000970305.1,0,99.18,0.65,228,p__Euryarchaeota (UID49),153,0.0,3272668,71.76201625893607,1,1782250,39.08060746690126,4560446,RS_GCF_000970305.1,t,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri_A,not type material,none,f,1,1,4560446,4560446,4560446,3,2889,NZ_CP009517.1,4560446,3,118,NZ_CP009517.1,2889,5336,0,100,CP009517.2296095.2298994,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina barkeri 3,4560446,4560446,t,f,f,4560446,4560446,Complete Genome,ASM97030v1,na,PRJNA224116,SAMN03074574,none,none,none,2015-04-07,GCA_000970305.1,none,full,none,none,none,1,0,Methanosarcina barkeri 3,3715,na,9,1,1,4560446,4560446,4560446,2015/04/07,0,2208,3,3,University of Illinois at Urbana-Champaign,1434107,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri;x__Methanosarcina barkeri 3,0,4560446,11,57,none,4560446,0,none,3766,1,4560446,3,none,none,none,none,none,none,1479,NZ_CP009517.1-#3,1474,2682,0,99.525,AF028692.1.1478,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina barkeri,0,19,57,0,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri A
GCF_001955925.1,RS_GCF_001955925.1,0,99.85,1.13,468,f__Paenibacillaceae (UID973),170,0.0,6672896,87.41491224967545,98,3945830,51.69035800979618,7633590,RS_GCF_001955925.1,t,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp001955925,not type material,none,f,12,12,697363,697363,3437,1,2923,NZ_MRTX01000066.1,252,3,112,NZ_MRTX01000097.1,2923,5398,0,100,MRTX01000066.496.3427,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. FSL R7-0337,77893,77893,t,f,f,236724,236724,Contig,ASM195592v1,na,PRJNA224116,SAMN05929630,98,236724,USA,2017-01-18,GCA_001955925.1,none,full,none,milk,none,0,1,Paenibacillus sp. FSL R7-0337,6672,na,7,none,none,none,none,none,2017/01/18,0,1926588,3,FSL R7-0337,Cornell University,1926588,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__,d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;x__unclassified Paenibacillus;s__Paenibacillus sp. FSL R7-0337,0,7633590,11,64,none,7633590,0,MRTX00000000.1,6714,98,144880,1,1513,2774,0,99.736,243849,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__,1559,NZ_MRTX01000020.1,1513,2774,0,99.736,AM745263.1.1513,Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus caespitis,0,19,69,0,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp001955925
GCF_023093535.1,RS_GCF_023093535.1,0,98.67,0.13,395,f__Halobacteriaceae (UID85),250,0.0,3285052,84.344150524068,1,2602948,66.83103887497724,3894819,RS_GCF_023093535.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Halovivax;s__Halovivax limisalsi,type strain of species,LPSN,f,1,1,3894819,3894819,3894819,1,2908,NZ_CP095757.1,3894819,1,115,NZ_CP095757.1,2907,4621,0,95.39,CP003050.200192.203101,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halovivax;Halovivax ruber XH-70,3894819,3894819,t,f,f,3894819,3894819,Complete Genome,ASM2309353v1,na,PRJNA224116,SAMN27554405,none,none,Iran: Aran-Bidgol,2022-04-23,GCA_023093535.1,none,full,none,a saline mud sample,none,1,0,Halovivax limisalsi,none,representative genome,3,1,1,3894819,3894819,3894819,2022/04/23,0,1453760,1,IBRC-M 10022,Jiangsu University,1453760,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halovivax;s__Halovivax limisalsi,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halovivax;s__Halovivax limisalsi,0,3894819,11,45,assembly from type material,3894819,0,none,3604,1,3894819,1,none,none,none,none,none,none,1472,NZ_CP095757.1,1403,2564,0,99.644,KF805151.1.1403,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halovivax;Halovivax limisalsi,0,18,44,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Halovivax,Halovivax limisalsi
GCA_023659785.1,GB_GCA_023659785.1,0,84.61,1.01,228,p__Euryarchaeota (UID49),153,0.0,1343899,87.34869633322393,266,650976,42.31661797801014,1538545,GB_GCA_023659785.1,t,d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__ANME-1;f__ANME-1;g__JAGXOR01;s__JAGXOR01 sp023659785,not type material,none,f,50,48,39200,39200,15141,1,2928,JAGXOR010000023.1,4850,1,117,JAGXOR010000105.1,2902,4431,0,94.28,AY714848.22300.25198,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;uncultured;uncultured archaeon GZfos27G5,5783,5827,f,f,t,8142,8570,Scaffold,ASM2365978v1,na,PRJNA699472,SAMN18613331,266,8142,Canada: Nunavut,2022-06-07,GCA_023659785.1,derived from single cell,full,LH_S13,single-cell amplified by WGA-X from cold saline spring sediment,79.41 N 90.72 W,0,none,Methanomicrobia archaeon LH_S13,none,na,none,264,48,8570,4564,2692,2022/06/07,2,2833511,none,LH_S13,McGill University,2833511,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;x__unclassified Methanomicrobia;s__Methanomicrobia archaeon LH_S13,199,1538545,none,none,none,1538346,0,JAGXOR000000000.1,1853,264,15141,1,none,none,none,none,none,none,1487,JAGXOR010000023.1,1474,2327,0,95.251,AY714817.10979.12458,Archaea;Halobacterota;ANME-1;ANME-1a;uncultured archaeon GZfos12E1,199,19,43,0,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,JAGXOR01,JAGXOR01 sp023659785
GCF_009617995.1,RS_GCF_009617995.1,0,99.53,0.0,395,f__Halobacteriaceae (UID85),250,0.0,2891020,86.84268785721731,2,2182159,65.54937457776752,3329031,RS_GCF_009617995.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium sp009617995,not type material,none,f,1,1,3105114,3105114,3105114,3,2903,NZ_CP044129.1,3105114,3,117,NZ_CP044129.1,2898,5166,0,98.827,AQZY01000017.99201.102107,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium katesii DSM 19301,1664515,1664515,t,f,f,3105114,3105114,Complete Genome,ASM961799v1,na,PRJNA224116,SAMN12757031,none,none,Italy: Trapani; Sicily,2019-11-07,GCA_009617995.1,none,full,none,ENVO:01001050,37.85 N 12.48 E,2,0,Halomicrobium sp. LC1Hm,none,na,9,2,1,3105114,3105114,3105114,2019/11/07,0,2610902,3,LC1Hm,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),2610902,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;x__unclassified Halomicrobium;s__Halomicrobium sp. LC1Hm,0,3329031,11,48,none,3329031,0,none,3391,2,3105114,3,none,none,none,none,none,none,1473,NZ_CP044129.1-#2,1473,2647,0,99.117,CP001689.16033.17504,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halomicrobium mukohataei DSM 12286,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp009617995
GCA_023402275.1,GB_GCA_023402275.1,0,95.97,0.0,187,p__Euryarchaeota (UID3),124,0.0,1305400,92.27293675903856,19,662897,46.85724908744936,1414716,GB_GCA_023402275.1,t,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp023402275,not type material,none,f,4,4,227704,227704,77263,1,375,JAEXCH010000010.1,180384,1,115,JAEXCH010000009.1,374,656,0,98.396,CP010070.159804.162705,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;Candidatus Methanoplasma termitum,74458,74458,f,f,t,151248,151248,Contig,ASM2340227v1,na,PRJNA682348,SAMN17044919,19,151248,Brazil: Belem,2022-05-17,GCA_023402275.1,derived from metagenome,full,OH_HBB_104,feces,1.45583 S 48.50444 W,0,none,Euryarchaeota archaeon,none,na,none,none,none,none,none,none,2022/05/17,0,2026739,none,OH_HBB_104,LNCC,2026739,d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;s__Euryarchaeota archaeon,0,1414716,none,none,none,1414716,0,JAEXCH000000000.1,1424,19,156090,1,none,none,none,none,none,none,913,JAEXCH010000004.1,910,1607,0,98.571,AB062308.1.1314,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;uncultured archaeal symbiont PA201,0,19,43,0,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanoplasma,Methanoplasma sp023402275
