query	target	evalue	bits	tstart	tend	taxlineage
A0A0K0KFP1|unreviewed|Halocin	NZ_JNCS01000004.1_296	9.675E-165	522	1	283	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrinema;s_Natrinema altunense
A0A0K0KFP1|unreviewed|Halocin	NZ_AOIS01000017.1_52	2.060E-136	441	1	283	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Haloterrigena;s_Haloterrigena salina
A0A0K0KFP1|unreviewed|Halocin	NZ_JABUQZ010000001.1_3516	3.867E-136	440	1	283	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Haloterrigena;s_Haloterrigena gelatinilytica
A0A0K0KFP1|unreviewed|Halocin	NZ_RQWN01000003.1_527	1.018E-132	430	1	283	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Haloterrigena;s_Haloterrigena salifodinae
A0A0K0KFP1|unreviewed|Halocin	NC_019962.1_3778	5.014E-94	318	15	294	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrinema;s_Natrinema pellirubrum
A0A0K0KFP1|unreviewed|Halocin	NZ_AOIJ01000052.1_25	1.878E-52	198	2	114	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrinema;s_Natrinema gari
A0A0K0KFP1|unreviewed|Halocin	NC_013966.1_286	8.829E-34	143	11	298	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax volcanii
A0A0K0KFP1|unreviewed|Halocin	NZ_FNWL01000002.1_725	2.237E-33	142	8	271	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natronorubrum;s_Natronorubrum sediminis
A0A0K0KFP1|unreviewed|Halocin	NZ_AOLJ01000018.1_115	1.955E-32	139	23	314	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax gibbonsii
A0A0K0KFP1|unreviewed|Halocin	AOIR01000031.1_72	1.252E-31	137	6	254	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrinema;s_Natrinema thermotolerans
A0A0K0KFP1|unreviewed|Halocin	NZ_AOIS01000013.1_6	5.240E-28	126	17	265	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Haloterrigena;s_Haloterrigena salina
A0A0K0KFP1|unreviewed|Halocin	NZ_CP035119.1_1595	2.446E-27	124	8	265	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Halorussus;s_Halorussus pelagicus
A0A0K0KFP1|unreviewed|Halocin	NZ_ML974131.1_203	2.446E-27	124	7	265	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Halorussus;s_Halorussus amylolyticus
A0A0K0KFP1|unreviewed|Halocin	NZ_AOLI01000017.1_204	1.141E-26	123	7	291	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax larsenii
A0A0K0KFP1|unreviewed|Halocin	NZ_CP099993.1_2066	2.111E-26	122	7	265	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Halorussus;s_Halorussus sp024138125
A0A0K0KFP1|unreviewed|Halocin	NZ_JABUQZ010000001.1_3948	3.905E-26	121	6	296	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Haloterrigena;s_Haloterrigena gelatinilytica
A0A0K0KFP1|unreviewed|Halocin	NZ_SBIS02000007.1_351	9.824E-26	120	8	265	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Halorussus;s_Halorussus salinus
A0A0K0KFP1|unreviewed|Halocin	NZ_AOIS01000027.1_81	2.881E-24	115	6	295	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Haloterrigena;s_Haloterrigena salina
A0A0K0KFP1|unreviewed|Halocin	NZ_VRYN01000036.1_1	3.288E-21	106	33	277	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halobacterium;s_Halobacterium salinarum
A0A0K0KFP1|unreviewed|Halocin	NZ_CP035119.1_2349	1.115E-20	105	2	268	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Halorussus;s_Halorussus pelagicus
A0A0K0KFP1|unreviewed|Halocin	NZ_ML974127.1_156	9.325E-15	87	10	287	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Halorussus;s_Halorussus salinus
A0A0K0KFP1|unreviewed|Halocin	NZ_VRYN01000005.1_8	2.298E-14	86	4	235	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halobacterium;s_Halobacterium salinarum
A0A233VLU4|unreviewed|Bacteriocin|taxID:1260	NZ_LT962470.1_288	8.600E-22	106	3	78	d_Bacteria;p_Bacillota A;c_Clostridia;o_Tissierellales;f_Peptoniphilaceae;g_Ezakiella;s_Ezakiella peruensis
A0A233VLU4|unreviewed|Bacteriocin|taxID:1260	NZ_BMKZ01000020.1_51	8.601E-12	77	55	241	d_Bacteria;p_Bacillota;c_Bacilli;o_Caldalkalibacillales;f_Caldalkalibacillaceae;g_Caldalkalibacillus;s_Caldalkalibacillus thermarum
A0A233VLU4|unreviewed|Bacteriocin|taxID:1260	NZ_CP048117.1_3818	2.897E-11	75	189	262	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales D;f_Halobacillaceae;g_Halobacillus;s_Halobacillus sp001592845
A0A233VLU4|unreviewed|Bacteriocin|taxID:1260	NZ_JRNX01000089.1_3	9.736E-11	74	95	198	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales D;f_Halobacillaceae;g_Halobacillus;s_Halobacillus sp000786645
