#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WP_103370992.1@GCF_002902305.1 -            503 5_nucleotid_C        PF02872.24   158   1.7e-16   54.4   0.0   1   1     4e-18   8.1e-16   52.2   0.0    17   146   324   456   312   466 0.84 -
WP_004043237.1@GCF_000025685.1 -            251 AAA_21               PF13304.13   304   1.6e-16   54.7   0.3   1   1   1.1e-13     2e-12   41.3   0.0   236   298   132   191    80   193 0.87 -
WP_015299278.1@GCF_000230735.2 -            313 AAA_21               PF13304.13   304   7.5e-16   52.5   0.0   1   1   7.8e-12   1.4e-10   35.2   0.0   236   298   129   188    93   190 0.89 -
WP_008456196.1@GCF_000337175.1 -            312 AAA_21               PF13304.13   304   8.4e-14   45.8   0.1   1   1     2e-10   3.7e-09   30.5   0.0   237   298   129   187    97   189 0.89 -
WP_007110066.1@GCF_000731985.1 -            312 AAA_21               PF13304.13   304   8.9e-14   45.7   0.1   1   1     2e-10   3.6e-09   30.6   0.0   237   298   129   187    95   189 0.88 -
WP_007110053.1@GCF_000731985.1 -            349 AAA_21               PF13304.13   304   2.1e-12   41.2   0.2   1   1   7.7e-10   1.4e-08   28.6   0.1   215   301   117   200    97   204 0.81 -
WP_008456175.1@GCF_000337175.1 -            349 AAA_21               PF13304.13   304   3.7e-12   40.4   0.1   1   1     1e-09   1.9e-08   28.2   0.0   221   301   122   200    77   204 0.81 -
WP_179133982.1@GCF_900166625.1 -            740 ABC2_membrane        PF01061.30   211   3.3e-12   40.0  11.4   1   1   3.1e-14   6.4e-12   39.1  11.4    96   208   579   687   568   689 0.94 -
WP_007110067.1@GCF_000731985.1 -            280 ABC2_membrane_2      PF12679.14   284   2.7e-58  191.1  15.2   1   1     6e-60     3e-58  190.9  15.2     2   284     5   280     4   280 0.96 -
WP_008456197.1@GCF_000337175.1 -            280 ABC2_membrane_2      PF12679.14   284   8.9e-58  189.4  16.0   1   1     2e-59     1e-57  189.2  16.0     2   284     5   280     4   280 0.95 -
WP_006183072.1@GCF_000230735.2 -            284 ABC2_membrane_2      PF12679.14   284   1.8e-54  178.5  13.0   1   1   5.2e-56   2.6e-54  178.0  13.0     2   284     5   284     4   284 0.94 -
WP_013035087.1@GCF_000025685.1 -            293 ABC2_membrane_2      PF12679.14   284   7.4e-33  107.6  16.7   1   1   1.7e-33   8.7e-32  104.1  16.7    73   283    54   291     4   292 0.87 -
WP_179133982.1@GCF_900166625.1    -            740 ABC2_membrane_3      PF12698.14   347   6.1e-27   88.2  34.2   1   1   6.4e-20   3.2e-18   59.5  34.2    21   345    42   715    19   717 0.78 -
NZ_LR134263.1_320@GCF_900636325.1 -            945 ABC2_membrane_3      PF12698.14   347   3.9e-20   65.8  28.6   1   2   1.5e-12   7.6e-11   35.3   0.1     6   132    22   165    21   197 0.79 -
NZ_LR134263.1_320@GCF_900636325.1 -            945 ABC2_membrane_3      PF12698.14   347   3.9e-20   65.8  28.6   2   2   2.8e-13   1.4e-11   37.7  16.4   133   346   708   920   470   921 0.82 -
WP_008456197.1@GCF_000337175.1    -            280 ABC2_membrane_3      PF12698.14   347   3.8e-10   33.0  16.0   1   1   7.6e-12   3.8e-10   33.0  16.0   167   346    66   272    60   273 0.73 -
