Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	C3_20min_Rep_1	C3_20min_Rep_2	C3_20min_Rep_3	C3_3h_Rep_1	C3_3h_Rep_2	C3_3h_Rep_3	Control_20min_Rep_1	Control_20min_Rep_2	Control_20min_Rep_3	Control_3h_Rep_1	Control_3h_Rep_2	Control_3h_Rep_3
sense	CP000029.1	Genbank	CDS	540	677	.	+	0	ID=cds0;Parent=gene0;Dbxref=NCBI_GP:AAW53386.1;Name=AAW53386.1;Note=identified by match to protein family HMM PF00468%3B match to protein family HMM TIGR01030;gbkey=CDS;gene=rpmH;product=ribosomal protein L34;protein_id=AAW53386.1;transl_table=11	127642.5	127875.0	200846.3333333333	146949.66666666666	124385.33333333333	90349.33333333334	90444.25	97855.5	81436.5	26100.5	43496.0	25951.5
sense	CP000029.1	Genbank	CDS	836	1183	.	+	0	ID=cds1;Parent=gene1;Dbxref=NCBI_GP:AAW53387.1;Name=AAW53387.1;Note=identified by similarity to OMNI:SA2739%3B match to protein family HMM PF00825%3B match to protein family HMM TIGR00188;gbkey=CDS;gene=rnpA;product=ribonuclease P protein component;protein_id=AAW53387.1;transl_table=11	410.0	1709.8333333333335	417.3333333333333	1269.8333333333333	560.0	1617.5	204.0	226.0	140.0	92.5	118.0	65.0
sense	CP000029.1	Genbank	CDS	1329	2708	.	+	0	ID=cds2;Parent=gene2;Dbxref=NCBI_GP:AAW53388.1;Name=AAW53388.1;Note=identified by similarity to EGAD:14211%3B match to protein family HMM PF01926%3B match to protein family HMM TIGR00231%3B match to protein family HMM TIGR00450%3B match to protein family HMM TIGR00650;gbkey=CDS;gene=trmE;product=tRNA modification GTPase TrmE;protein_id=AAW53388.1;transl_table=11	7558.0	15798.833333333332	6682.083333333333	23042.0	8198.583333333332	18499.25	6113.291666666667	4411.5	3018.333333333333	2008.0	1735.3333333333333	1519.8333333333335
sense	CP000029.1	Genbank	CDS	2781	4658	.	+	0	ID=cds3;Parent=gene3;Dbxref=NCBI_GP:AAW53389.1;Name=AAW53389.1;Note=identified by similarity to EGAD:15241%3B match to protein family HMM PF01134%3B match to protein family HMM TIGR00136;gbkey=CDS;gene=gidA;product=glucose inhibited division protein A;protein_id=AAW53389.1;transl_table=11	4931.0	8545.200000000003	4322.616666666667	18308.93452380952	6329.583333333333	13902.000000000002	3615.083333333333	3784.75	2311.2	1330.3333333333333	1234.0	994.5
sense	CP000029.1	Genbank	CDS	4658	5377	.	+	0	ID=cds4;Parent=gene4;Dbxref=NCBI_GP:AAW53390.1;Name=AAW53390.1;Note=identified by similarity to EGAD:18378%3B match to protein family HMM PF02527%3B match to protein family HMM TIGR00138;gbkey=CDS;gene=gidB;product=glucose-inhibited division protein B;protein_id=AAW53390.1;transl_table=11	1904.5	2768.5	1810.4444444444443	8166.125	2882.5	5794.5	1458.1666666666665	1727.5	1056.8333333333335	391.0	417.0	342.0
sense	CP000029.1	Genbank	CDS	5421	6260	.	+	0	ID=cds5;Parent=gene5;Dbxref=NCBI_GP:AAW53391.1;Name=AAW53391.1;Note=identified by similarity to OMNI:SA2735%3B match to protein family HMM PF02195%3B match to protein family HMM TIGR00180;gbkey=CDS;product=chromosome partioning protein%2C ParB family;protein_id=AAW53391.1;transl_table=11	3244.166666666667	4733.416666666666	2752.4999999999995	12460.916666666666	4664.892857142857	10314.2	2563.5	2808.5	1770.1666666666667	608.5833333333334	636.75	512.0
sense	CP000029.1	Genbank	CDS	6313	6459	.	-	0	ID=cds6;Parent=gene6;Dbxref=NCBI_GP:AAW53400.1;Name=AAW53400.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53400.1;transl_table=11	145.66666666666669	146.0	245.0	302.0	303.66666666666663	234.0	73.0	140.33333333333334	99.0	108.0	101.0	124.0
sense	CP000029.1	Genbank	CDS	6522	6683	.	+	0	ID=cds7;Parent=gene7;Dbxref=NCBI_GP:AAW53401.1;Name=AAW53401.1;Note=identified by Glimmer2%3B putative;gbkey=CDS;product=hypothetical protein;protein_id=AAW53401.1;transl_table=11	795.5	2157.7	612.5	1325.0	931.5	2125.5	451.0	332.0	226.5	205.5	149.5	183.0
sense	CP000029.1	Genbank	CDS	6661	7020	.	+	0	ID=cds8;Parent=gene8;Dbxref=NCBI_GP:AAW53402.1;Name=AAW53402.1;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53402.1;transl_table=11	4170.0	14848.333333333332	3933.8333333333335	8875.166666666668	6138.083333333333	13773.333333333334	2403.083333333333	1666.3333333333335	1222.5	1107.5	829.5	830.5
sense	CP000029.1	Genbank	CDS	7036	7431	.	+	0	ID=cds9;Parent=gene9;Dbxref=NCBI_GP:AAW53403.1;Name=AAW53403.1;gbkey=CDS;product=conserved hypothetical protein;protein_id=AAW53403.1;transl_table=11	2491.5	10865.5	2067.0	5241.0	3910.25	10126.5	1404.75	893.3333333333333	605.0	525.5	328.0	333.5
