#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_JHVN01000001.1_341-Anoxybacillus_A_tepidamans_A -            415 AHH                  PF14412.9    112   2.7e-13   46.4   0.9   1   1   3.6e-16   5.2e-13   45.5   0.3     8   108   312   402   306   406 0.91 -
NZ_BMOF01000010.1_43-Calditerricola_satsumensis          -            437 Amidohydro_1         PF01979.23   348     2e-81  270.4   0.3   1   1   8.4e-82   2.6e-81  270.0   0.3     1   348    57   406    57   406 0.95 -
JACIWL010000010.1_27-DTER01_sp014360995                  -            435 Amidohydro_1         PF01979.23   348   2.3e-79  263.6   0.0   1   1   8.8e-80   2.7e-79  263.4   0.0     2   346    62   407    61   409 0.94 -
BDTY01000118.1_5-BMS3B_sp002897955                       -            440 Amidohydro_1         PF01979.23   348   2.8e-79  263.3   0.1   1   1   1.1e-79   3.3e-79  263.1   0.1     1   347    53   402    53   403 0.94 -
QIGD01000115.1_4-BMS3B_sp003229935                       -            440 Amidohydro_1         PF01979.23   348   9.4e-79  261.6   0.1   1   1   3.6e-79   1.1e-78  261.4   0.1     1   347    53   402    53   403 0.94 -
RFHW01000197.1_4-J060_sp003695745                        -            440 Amidohydro_1         PF01979.23   348   2.2e-78  260.4   0.5   1   1   8.8e-79   2.7e-78  260.1   0.5     1   347    57   403    57   404 0.92 -
CABMIH010000021.1_17-Methanoperedens_sp902386205         -            423 Amidohydro_1         PF01979.23   348   5.1e-78  259.2   1.2   1   1     2e-78     6e-78  258.9   1.2     2   347    53   393    52   394 0.94 -
JAHFDG010000035.1_17-Methanoperedens_sp023249105         -            422 Amidohydro_1         PF01979.23   348   1.6e-77  257.6   1.5   1   1     6e-78   1.8e-77  257.4   1.5     2   347    53   393    52   394 0.94 -
JAGDVW010000056.1_12-DTER01_sp023255835                  -            438 Amidohydro_1         PF01979.23   348   2.8e-77  256.7   0.0   1   1   1.1e-77   3.3e-77  256.5   0.0     2   346    65   410    64   412 0.94 -
VEPN01000050.1_18-Methanoperedens_sp012026835            -            423 Amidohydro_1         PF01979.23   348   3.5e-77  256.4   2.4   1   1   1.4e-77   4.1e-77  256.2   2.4     1   347    52   393    52   394 0.95 -
PQAS01000055.1_52-Methanoperedens_sp003104905            -            421 Amidohydro_1         PF01979.23   348   4.2e-77  256.2   0.5   1   1   1.6e-77     5e-77  255.9   0.5     2   347    53   393    52   394 0.94 -
NZ_CP031310.1_99-Halapricum_salinum                      -            432 Amidohydro_1         PF01979.23   348     5e-77  255.9   3.0   1   1   1.9e-77   5.9e-77  255.7   3.0     1   347    54   401    54   402 0.93 -
JAEYPH010000008.1_8-JAEYRA01_sp023410875                 -            434 Amidohydro_1         PF01979.23   348   5.5e-77  255.8   0.4   1   1   2.1e-77   6.5e-77  255.6   0.4     1   347    57   403    57   404 0.95 -
NZ_SPQG01000004.1_157-Halorhabdus_amylolytica            -            429 Amidohydro_1         PF01979.23   348   6.7e-77  255.5   0.9   1   1   2.6e-77   7.8e-77  255.3   0.9     1   347    51   398    51   399 0.94 -
JAEZSC010000070.1_3-JAEYRA01_sp023422005                 -            436 Amidohydro_1         PF01979.23   348   6.9e-77  255.5   0.1   1   1   2.7e-77   8.1e-77  255.2   0.1     1   347    57   403    57   404 0.95 -
JAHJSX010000025.1_3-JAHJSX01_sp018830205                 -            435 Amidohydro_1         PF01979.23   348   7.8e-77  255.3   0.3   1   1   3.1e-77   9.4e-77  255.0   0.3     1   347    53   398    53   399 0.95 -
NZ_WRXM01000002.1_816-Halomicroarcula_limicola           -            432 Amidohydro_1         PF01979.23   348   2.6e-76  253.6   3.8   1   1   9.9e-77     3e-76  253.4   3.8     1   347    53   400    53   401 0.95 -
JACIWM010000002.1_22-DTER01_sp014360945                  -            428 Amidohydro_1         PF01979.23   348   8.8e-76  251.8   0.0   1   1   3.3e-76     1e-75  251.6   0.0     2   346    55   400    54   402 0.93 -
NZ_CP096270.1_800-Salinarchaeum_laminariae               -            443 Amidohydro_1         PF01979.23   348   1.5e-75  251.0   5.7   1   1   5.9e-76   1.8e-75  250.8   5.7     1   347    63   410    63   411 0.93 -
NZ_CP019154.1_109-Haloarcula_taiwanensis                 -            432 Amidohydro_1         PF01979.23   348   1.7e-75  250.9   4.1   1   1   6.5e-76     2e-75  250.7   4.1     1   347    53   400    53   401 0.95 -
NZ_CP101823.1_2816-Haloplanus_salinarum                  -            429 Amidohydro_1         PF01979.23   348   3.7e-75  249.8   3.7   1   1   1.4e-75   4.3e-75  249.6   3.7     1   347    51   398    51   399 0.94 -
NZ_CP090371.1_202-Halobaculum_sp021431925                -            433 Amidohydro_1         PF01979.23   348   7.5e-75  248.8   7.0   1   1   2.9e-75   8.7e-75  248.5   7.0     1   347    54   401    54   402 0.93 -
JAHENN010000071.1_4-Natronomonas_sp018609665             -            432 Amidohydro_1         PF01979.23   348   8.7e-75  248.5   2.8   1   1   3.3e-75     1e-74  248.3   2.8     1   347    52   399    52   400 0.93 -
