ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
WP_007110057.1_GCF_000731985.1 _Natrinema altunense_ _MODIFIED_	TAT	0.000000	0.000001	0.000000	0.985906	0.014070	0.000000	CS pos: 39-40. Pr: 0.8680
WP_103159623.1_GCF_002901945.1 _Staphylococcus chromogenes_	SP	0.000731	0.733574	0.264985	0.000262	0.000238	0.000196	CS pos: 28-29. Pr: 0.6893
NZ_LR134263.1_321_GCF_900636325.1 _Staphylococcus delphini_	OTHER	1.000000	0.000011	0.000002	0.000000	0.000000	0.000000	
WP_002456424.1_GCF_006742205.1 _Staphylococcus epidermidis_	SP	0.001279	0.869989	0.127866	0.000362	0.000266	0.000208	CS pos: 28-29. Pr: 0.8210
WP_103370993.1_GCF_002902305.1 NZ_PPPX01000001.1_513_GCF_002902305.1 _Staphylococcus argensis_	SP	0.000681	0.685836	0.312576	0.000333	0.000301	0.000234	CS pos: 28-29. Pr: 0.6457
NZ_PPQH01000083.1_2_GCF_002902385.1 _Staphylococcus intermedius_	OTHER	0.998639	0.001410	0.000005	0.000002	0.000001	0.000002	
