query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DUGT01000203.1_24	A0A832U284	340	339	1.000	339	0	1	339	1	339	2.369E-264	819
NZ_LR881183.1_1455	A0A7G2D9G6	268	267	1.000	267	0	1	267	1	267	5.086E-212	662
WANV01000030.1_197	A0A8J8AIN5	333	328	0.972	326	9	1	326	1	326	1.728E-251	782
NZ_AOIJ01000063.1_217	L9YSX7	280	279	1.000	279	0	1	279	1	279	2.701E-221	690
NZ_CP044129.1_261	A0A5Q0UIW4	355	338	1.000	338	0	17	354	1	338	1.716E-268	833
NZ_SNUH01000002.1_460	A0A8J8AIN5	329	328	1.000	328	0	1	328	1	328	5.483E-261	808
NZ_JONQ01000011.1_150	A0A832RVS1	350	349	1.000	349	0	1	349	1	349	1.031E-277	858
NZ_SMGQ01000011.1_424	A0A4R1MYC7	404	403	1.000	403	0	1	403	1	403	2.704E-316	974
NZ_RIAS01000036.1_4	A0A5M9X370	404	403	1.000	403	0	1	403	1	403	1.690E-310	958
NZ_MRTX01000012.1_15	A0A1R1GAQ2	409	408	1.000	408	0	1	408	1	408	2.312E-314	969
NZ_CP037968.1_2369	A0A8G1A3I7	308	307	1.000	307	0	1	307	1	307	4.548E-249	771
NC_007955.1_1059	Q12XA9	317	316	1.000	316	0	1	316	1	316	2.294E-254	788
NZ_CP009517.1_2169	A0A0E3SN68	340	339	1.000	339	0	1	339	1	339	2.369E-264	819
PQXC01000011.1_2	A0A2V3JBQ4	458	457	1.000	457	0	1	457	1	457	0.000E+00	1131
NC_017943.1_248	Q48236	360	359	1.000	359	0	1	359	1	359	8.760E-284	876
NZ_JABMCC010000121.1_673	A0A358GND8	404	403	0.997	403	1	1	403	1	403	5.304E-310	957
