Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Taxonomic lineage
P83716,reviewed,HAC8_HALAS,Pre-protein-C8 [Cleaved into: Immunity protein HalI; Halocin-C8 (HalC8)],proC8,Halobacterium sp. (strain AS7092),283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), unclassified Halobacterium (no rank)"
A0A075WFM8,unreviewed,A0A075WFM8_ARCFL,Firmicute eSAT-6 protein secretion system EssA,AFULGI_00018220,Archaeoglobus fulgidus DSM 8774,308.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)"
A0A0K0KFP1,unreviewed,A0A0K0KFP1_9EURY,Halocin C8,proC8,Natrinema sp. SI14,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), unclassified Natrinema (no rank)"
A0A0K0KFQ3,unreviewed,A0A0K0KFQ3_9EURY,Halocin C8,proC8,Natrinema sp. SSI9,275.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus), unclassified Natrinema (no rank)"
A0A1W6ALC8,unreviewed,A0A1W6ALC8_9EURY,Halocin C8,halC8,Natrinema altunense,283.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Natrialbales (order), Natrialbaceae (family), Natrinema (genus)"
A0A2A8V226,unreviewed,A0A2A8V226_9BACI,Uncharacterized protein,CN378_19425,Bacillus sp. AFS015802,257.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), unclassified Bacillus (in: firmicutes) (no rank)"
A0A371K9U1,unreviewed,A0A371K9U1_9EURY,Halocin C8 (TBD),DEQ67_14325,Haloferax sp. Atlit-48N,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A380FY09,unreviewed,A0A380FY09_STAIN,Lipoprotein,NCTC11048_00145,Staphylococcus intermedius NCTC 11048,227.0,"cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus), Staphylococcus intermedius group (no rank), Staphylococcus intermedius (species)"
A0A498EAK4,unreviewed,A0A498EAK4_9EURY,Halocin C8 (TBD),DVK04_17085,Haloferax sp. Atlit-105R,306.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Haloferacales (order), Haloferacaceae (family), Haloferax (genus), unclassified Haloferax (no rank)"
A0A4D6HFK7,unreviewed,A0A4D6HFK7_9EURY,Halocin C8,DV733_11610,Halapricum salinum,277.0,"cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halapricum (genus)"
