#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WP_002456430.1@GCF_006742205.1 -            155 TIGR02705            TIGR02705    156   4.2e-69  224.6   0.4   1   1   2.3e-71   4.6e-69  224.5   0.4     2   156     2   155     1   155 0.99 -
WP_103370989.1@GCF_002902305.1 -            520 TIGR00503            TIGR00503    527  1.8e-198  653.8   1.5   1   1  9.9e-201    2e-198  653.6   1.5     6   523     5   518     1   520 0.94 -
WP_236634692.1@GCF_003226345.1 -            187 TIGR02937            TIGR02937    165   1.4e-31  103.0   0.3   1   1   7.8e-34   1.6e-31  102.8   0.3     3   164    25   181    23   182 0.94 -
WP_058381525.1@GCF_001465795.2 -            464 TIGR00931            TIGR00931    454  1.4e-122  403.3  40.2   1   1  8.7e-125  1.7e-122  402.9  40.2     5   452    12   457     9   459 0.98 -
WP_103370997.1@GCF_002902305.1 -            132 TIGR01593            TIGR01593    128   4.3e-22   72.1   2.1   1   1   2.3e-24   4.6e-22   71.9   2.1     9   114    14   117     6   131 0.86 -
NZ_LR134263.1_317@GCF_900636325.1 -            513 TIGR01427            TIGR01427    346   4.4e-92  302.6  39.6   1   1   2.7e-94   5.4e-92  302.3  39.6    15   345     2   338     1   339 0.96 -
WP_058381527.1@GCF_001465795.2 -            245 TIGR00945            TIGR00945    215   1.6e-56  185.2  21.6   1   1   9.4e-59   1.9e-56  184.9  21.6     1   215     7   222     7   222 0.99 -
WP_004043221.1@GCF_000025685.1 -            489 TIGR01722            TIGR01722    477  2.9e-156  514.4   0.3   1   1  1.6e-158  3.3e-156  514.2   0.3     1   477    11   486    11   486 0.99 -
WP_002469574.1@GCF_006742205.1 -            465 TIGR00562            TIGR00562    470    1e-119  393.7   0.1   1   1  5.6e-122  1.1e-119  393.6   0.1     3   466     3   463     1   465 0.94 -
NZ_PPQH01000083.1_3@GCF_002902385.1 -            682 TIGR01494            TIGR01494    478   4.5e-88  289.3   6.7   1   1   5.6e-89   1.1e-86  284.6   6.7     2   469   144   653   143   664 0.84 -
WP_008456178.1@GCF_000337175.1 -            359 TIGR01254            TIGR01254    306   3.5e-44  144.8   0.0   1   1     7e-46   4.7e-44  144.4   0.0     4   306    35   352    33   352 0.83 -
WP_049900695.1@GCF_000731985.1 -            359 TIGR01254            TIGR01254    306   7.9e-44  143.7   0.0   1   1   1.5e-45     1e-43  143.3   0.0     5   306    36   352    33   352 0.79 -
WP_006183084.1@GCF_000230735.2 -            373 TIGR01254            TIGR01254    306   1.9e-40  132.6   0.0   1   1   3.2e-42   2.2e-40  132.4   0.0     5   306    49   366    46   366 0.77 -
WP_001829851.1@GCF_006742205.1 -            333 TIGR01928            TIGR01928    325   5.9e-80  262.2   0.1   1   1   3.4e-82   6.9e-80  262.0   0.1     1   324     9   311     9   312 0.97 -
NZ_PPQH01000083.1_3@GCF_002902385.1 -            682 TIGR01525            TIGR01525    560  9.7e-177  582.7  10.5   1   1  5.6e-179  1.1e-176  582.5  10.5     1   559   103   677   103   678 0.97 -
WP_007110057.1@GCF_000731985.1      -            248 TIGR04449            TIGR04449     69   2.2e-17   57.5  21.3   1   1   1.9e-18   3.1e-17   57.0  21.3     1    69   179   248   179   248 0.98 -
WP_241432498.1@GCF_000337175.1      -            114 TIGR04449            TIGR04449     69   1.2e-15   51.9  20.0   1   1   9.4e-17   1.6e-15   51.5  20.0     1    69    45   114    45   114 0.98 -
WP_015299281.1@GCF_000230735.2      -            294 TIGR04449            TIGR04449     69   1.3e-14   48.6  19.4   1   1   7.8e-16   1.3e-14   48.6  19.4     1    69   225   294   225   294 0.98 -
WP_004043226.1@GCF_000025685.1      -            305 TIGR04449            TIGR04449     69   5.2e-14   46.7  23.1   1   1   4.9e-15   8.3e-14   46.0  23.1     1    69   235   305   235   305 0.97 -
WP_110516892.1@GCF_003226345.1      -            262 TIGR04449            TIGR04449     69   3.7e-10   34.3  15.6   1   1   3.2e-11   5.3e-10   33.8  15.6     2    64   205   262   204   262 0.96 -
WP_103370993.1@GCF_002902305.1      -            244 TIGR04449            TIGR04449     69     4e-10   34.2  14.8   1   1   3.5e-11   5.9e-10   33.7  14.8     3    64   188   244   187   244 0.95 -
