query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NZ_AP017570.1_62	A0A1I5UQF1	345	345	1.000	345	0	1	345	1	345	4.415E-263	816
NZ_KB913017.1_495	L9VJX3	274	274	1.000	274	0	1	274	1	274	4.868E-208	652
NZ_CP007061.1_33	A0A6G2FUG1	296	296	0.986	296	4	1	296	1	296	6.848E-223	696
NC_019974.1_1502	L0JZR0	241	241	1.000	241	0	1	241	1	241	2.306E-182	575
NZ_REFZ01000024.1_27	A0A3N6M7T8	279	279	1.000	279	0	1	279	1	279	1.386E-209	657
NZ_PDOF01000001.1_643	A0A2W0H8Y2	262	262	1.000	262	0	1	262	1	262	9.189E-199	624
NC_019962.1_2354	L0JLR2	270	298	1.000	270	0	1	270	29	298	2.993E-210	657
NZ_AOIS01000027.1_81	A0A8T8DWK0	315	315	0.993	315	2	1	315	1	315	2.251E-243	757
NZ_AOLJ01000018.1_115	A0A0K1IUZ8	321	306	1.000	306	0	16	321	1	306	9.166E-235	733
NZ_CAGS01000398.1_7	I4EKE5	292	292	1.000	292	0	1	292	1	292	4.909E-237	735
NZ_BIXZ01000012.1_61	A0A4C2ENS6	249	249	1.000	249	0	1	249	1	249	6.755E-186	586
NZ_JAAMTH010000001.1_858	A0A0U2Z4M8	261	261	0.992	261	2	1	261	1	261	1.106E-193	609
NC_018015.1_899	I3ZTP7	313	313	1.000	313	0	1	313	1	313	5.922E-249	772
NZ_VRYN01000036.1_1	A0A895AJK3	296	296	1.000	296	0	1	296	1	296	5.149E-230	716
NZ_AOIS01000013.1_6	M0CHN6	284	277	1.000	277	0	8	284	1	277	1.864E-212	665
CALTXP010000111.1_2	A0A0H2VGU6	244	244	1.000	244	0	1	244	1	244	2.645E-193	606
NZ_CP031310.1_2352	A0A4D6HFK7	277	277	1.000	277	0	1	277	1	277	2.654E-220	686
NC_019962.1_354	L0JJ00	273	273	1.000	273	0	1	273	1	273	1.346E-207	650
NC_013743.1_2014	D2RT16	264	264	1.000	264	0	1	264	1	264	1.832E-202	634
NZ_VRYN01000005.1_8	A0A663A714	254	254	1.000	254	0	1	254	1	254	3.131E-195	613
NZ_AOLI01000017.1_204	A0A1H7T849	310	310	0.958	310	13	1	310	1	310	3.009E-228	714
NZ_LT671858.1_1752	A0A1N5WFV7	206	206	1.000	206	0	1	206	1	206	8.601E-158	501
NZ_LMVP01000201.1_31	A0A2A2HTT2	182	182	1.000	182	0	1	182	1	182	6.441E-136	436
NZ_JAJFAX010000001.1_346	A0A8G1J0K7	246	246	1.000	246	0	1	246	1	246	1.503E-188	593
AOIR01000038.1_26	A0A4P9TFS7	298	298	0.973	298	8	1	298	1	298	6.473E-228	711
NZ_CP058601.1_2716	A0A7D5KXX8	296	296	1.000	296	0	1	296	1	296	1.575E-227	709
NZ_CAGS01000400.1_2	I4EKF2	1457	1438	1.000	1438	0	20	1457	1	1438	0.000E+00	3522
JHUT02000017.1_13	L9ZA08	241	241	0.987	241	3	1	241	1	241	1.020E-178	565
NZ_AQXI01000005.1_93	A0A1M7C1A1	287	287	1.000	287	0	1	287	1	287	1.386E-218	683
NZ_PPPX01000001.1_513	A0A2K4FEA0	244	244	1.000	244	0	1	244	1	244	2.645E-193	606
NZ_CP009503.1_1446	A0A0E3NKG2	267	267	1.000	267	0	1	267	1	267	3.938E-202	634
NZ_FNWL01000002.1_725	A0A1H6FZD9	299	299	1.000	299	0	1	299	1	299	5.091E-229	714
NZ_JNCS01000004.1_296	A0A1W6ALC8	283	283	1.000	283	0	1	283	1	283	2.439E-213	668
WYDT01000002.1_38	A0A972G812	117	117	1.000	117	0	1	117	1	117	3.865E-86	287
NC_019962.1_3778	L0JQ08	294	294	1.000	294	0	1	294	1	294	3.524E-221	691
ATMD01000005.1_21	T0MSV0	206	215	1.000	206	0	1	206	10	215	2.705E-157	499
NC_000917.1_1621	O28702	207	207	1.000	207	0	1	207	1	207	4.663E-160	507
NZ_KZ614149.1_2911	A0A1G8NNL8	265	265	1.000	265	0	1	265	1	265	4.526E-203	636
NC_013202.1_958	A0A4D6KBW0	309	316	1.000	309	0	1	309	8	316	9.633E-238	740
NZ_AOII01000014.1_48	L9ZA08	241	241	1.000	241	0	1	241	1	241	1.047E-180	570
NZ_NTUP01000066.1_457	A0A2A8V226	257	257	1.000	257	0	1	257	1	257	6.824E-196	615
NZ_FOXI01000014.1_10	A0A1I5UQF1	345	345	1.000	345	0	1	345	1	345	4.415E-263	816
NZ_CP058601.1_2884	A0A7D5KJY3	286	286	1.000	286	0	1	286	1	286	1.253E-220	689
NZ_CP048117.1_3818	L5NAY5	262	262	1.000	262	0	1	262	1	262	4.170E-197	619
NZ_BORP01000008.1_88	A0A3C1I4Q2	125	266	0.992	125	1	1	125	142	266	5.370E-92	305
NZ_PPQH01000083.1_2	A0A380FY09	227	227	1.000	227	0	1	227	1	227	2.522E-181	570
NC_002689.2_1603	Q978B7	230	233	1.000	230	0	1	230	4	233	7.633E-177	558
