query	target	evalue	bits	tstart	tend	taxlineage
NP_391616.1	NZ_CP096889.1_3702	5.985E-21	94	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus cabrialesii
NP_391616.1	NC_016047.1_3777	5.985E-21	94	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus spizizenii
NP_391616.1	NZ_AMXN01000001.1_407	5.985E-21	94	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus inaquosorum
NP_391616.1	NZ_LPVF01000008.1_643	5.985E-21	94	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus halotolerans
NP_391616.1	NZ_LSBB01000001.1_354	5.985E-21	94	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus atrophaeus
NP_391616.1	NZ_JH600279.1_675	5.985E-21	94	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus mojavensis
NP_391616.1	NC_000964.3_3846	5.985E-21	94	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus subtilis
NP_391616.1	NZ_MVPW01000008.1_121	2.131E-20	93	2	44	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus subtilis G
NP_391616.1	NZ_AYTO01000009.1_139	4.022E-20	92	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus tequilensis
NP_391616.1	NZ_JAMYWY010000001.1_1312	2.520E-14	75	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae;g_Paenibacillus;s_Paenibacillus sp024159265
NP_391616.1	CAJTZX010000014.1_62	4.415E-13	72	14	55	d_Bacteria;p_Bacillota A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium J;s_Eubacterium J sp910584345
NP_391616.1	NZ_CP012024.1_952	1.147E-12	70	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_JACDOC01;g_Bacillus O;s_Bacillus O smithii
NP_391616.1	NZ_CP027770.1_818	1.577E-12	70	1	41	d_Bacteria;p_Bacillota;c_Bacilli;o_Staphylococcales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus felis
NP_391616.1	NZ_JWJE02000084.1_1	2.168E-12	70	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Domibacillaceae;g_Quasibacillus;s_Quasibacillus thermotolerans
NP_391616.1	NZ_PPQF01000064.1_5	4.099E-12	69	1	41	d_Bacteria;p_Bacillota;c_Bacilli;o_Staphylococcales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus agnetis
NP_391616.1	NZ_PPRT01000025.1_31	5.635E-12	68	1	41	d_Bacteria;p_Bacillota;c_Bacilli;o_Staphylococcales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus caprae
NP_391616.1	NZ_LGRV01000006.1_11	1.065E-11	68	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Planococcaceae;g_Lysinibacillus;s_Lysinibacillus contaminans
NP_391616.1	NZ_LR134263.1_2513	2.014E-11	67	1	41	d_Bacteria;p_Bacillota;c_Bacilli;o_Staphylococcales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus delphini
NP_391616.1	NZ_JXKM01000001.1_286	7.201E-11	65	1	39	d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus A;s_Enterococcus A devriesei
NP_391616.1	NZ_JXKM01000001.1_287	7.201E-11	65	1	39	d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus A;s_Enterococcus A devriesei
NP_391616.1	NZ_JXKM01000001.1_285	9.903E-11	65	1	39	d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus A;s_Enterococcus A devriesei
NP_391616.1	NZ_KV802690.1_335	2.576E-10	64	14	52	d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus sp001810785
NP_391616.1	NC_022584.1_632	2.576E-10	64	14	52	d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus ilei
NP_391616.1	NZ_CP047883.1_1056	2.576E-10	64	14	52	d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus mitis BO
NP_391616.1	NZ_CALSFS010000007.1_81	4.871E-10	63	9	49	d_Bacteria;p_Bacillota A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium F;s_Clostridium F sp943736985
NP_391616.1	DEPD01000020.1_10	6.241E-09	60	5	45	d_Bacteria;p_Bacillota A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_COE1;s_COE1 sp002358575
NP_391616.1	NZ_CP014854.1_1257	3.951E-07	55	13	45	d_Archaea;p_Methanobacteriota B;c_Thermococci;o_Thermococcales;f_Thermococcaceae;g_Thermococcus;s_Thermococcus celer
NP_391616.1	JABLXU010000066.1_8	3.951E-07	55	169	201	d_Bacteria;p_OLB16;c_OLB16;o_SURF-12;f_SURF-12;g_JABLXU01;s_JABLXU01 sp013177805
NP_391616.1	NZ_FPBY01000182.1_1	1.827E-05	50	2	31	d_Bacteria;p_Bacillota A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp900116755
NP_391616.1	NZ_LACM01000001.1_1097	4.768E-05	49	15	49	d_Bacteria;p_Bacillota A;c_Thermoanaerobacteria;o_Caldicellulosiruptorales;f_Caldicellulosiruptoraceae;g_Caldicellulosiruptor;s_Caldicellulosiruptor danielii
NP_391616.1	NZ_CP007264.1_1502	6.565E-05	48	6	42	d_Archaea;p_Methanobacteriota B;c_Thermococci;o_Thermococcales;f_Thermococcaceae;g_Thermococcus;s_Thermococcus nautili
NP_391616.1	NZ_LT900021.1_20	9.040E-05	48	6	42	d_Archaea;p_Methanobacteriota B;c_Thermococci;o_Thermococcales;f_Thermococcaceae;g_Thermococcus;s_Thermococcus henrietii
NP_391616.1	NZ_FNDE01000038.1_15	3.696E-06	52	1	43	d_Bacteria;p_Bacillota;c_Bacilli;o_Aneurinibacillales;f_Aneurinibacillaceae;g_Aneurinibacillus;s_Aneurinibacillus thermoaerophilus
NP_391616.1	NZ_JWJE02000084.1_2	1.327E-05	50	16	52	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Domibacillaceae;g_Quasibacillus;s_Quasibacillus thermotolerans
NP_391616.1	NZ_FPBY01000090.1_1	1.245E-04	48	4	30	d_Bacteria;p_Bacillota A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp900116755
NP_391616.1	NZ_KE386802.1_38	6.168E-04	46	8	45	d_Bacteria;p_Actinomycetota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium freiburgense
NP_391616.1	NZ_VOHM01000009.1_45	5.087E-06	51	8	45	d_Bacteria;p_Actinomycetota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium canis
NP_391617.1	NC_000964.3_3847	2.027E-310	952	1	448	d_Bacteria;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus subtilis
