#                                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name                     accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ----------           -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
WP_007110048.1@GCF_000731985.1 -          WP_007110048.1@GCF_000731985.1 -           1.3e-108  353.5  10.9  1.4e-108  353.4  10.9   1.0   1   0   0   1   1   1   1 -
WP_008456167.1@GCF_000337175.1 -          WP_007110048.1@GCF_000731985.1 -            1.1e-93  305.0   8.5   1.2e-93  304.8   8.5   1.0   1   0   0   1   1   1   1 -
WP_006183091.1@GCF_000230735.2 -          WP_007110048.1@GCF_000731985.1 -            1.1e-82  269.2   9.6   1.2e-82  269.0   9.6   1.0   1   0   0   1   1   1   1 -
WP_007110049.1@GCF_000731985.1 -          WP_007110049.1@GCF_000731985.1 -            1.1e-90  294.0   9.1   1.2e-90  293.9   9.1   1.0   1   0   0   1   1   1   1 -
WP_008456168.1@GCF_000337175.1 -          WP_007110049.1@GCF_000731985.1 -            2.8e-63  205.5  14.3   3.9e-62  201.7  14.3   1.9   1   1   0   1   1   1   1 -
WP_006183090.1@GCF_000230735.2 -          WP_007110049.1@GCF_000731985.1 -              1e-41  135.7  10.8   1.1e-41  135.6  10.8   1.0   1   0   0   1   1   1   1 -
WP_007110050.1@GCF_000731985.1 -          WP_007110050.1@GCF_000731985.1 -                  0 1336.0  30.8         0 1335.8  30.8   1.0   1   0   0   1   1   1   1 -
WP_014862879.1@GCF_000337175.1 -          WP_007110050.1@GCF_000731985.1 -                  0 1293.3  31.2         0 1293.1  31.2   1.0   1   0   0   1   1   1   1 -
WP_172637306.1@GCF_000230735.2 -          WP_007110050.1@GCF_000731985.1 -                  0 1191.8  32.0         0 1191.7  32.0   1.0   1   0   0   1   1   1   1 -
WP_110516904.1@GCF_003226345.1 -          WP_007110050.1@GCF_000731985.1 -            9.8e-15   47.7  26.6   2.2e-11   36.6   8.8   3.1   2   1   1   3   3   3   3 -
WP_007110051.1@GCF_000731985.1 -          WP_007110051.1@GCF_000731985.1 -            2.1e-31  100.4  22.2   2.3e-31  100.3  22.2   1.0   1   0   0   1   1   1   1 -
