id,uniprot_id,gtdb_id,db_proka_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,length,source
O28702,O28702,NC_000917.1_1621,,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),207.0,Wider GTDB 214
WP_148183473.1@GCF_000008665.1,,,WP_148183473.1@GCF_000008665.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,Archaeoglobus fulgidus DSM 4304,195.0,DB prokaryotes (GTDB 214 subset)
MCS7130230.1@GCA_025058955.1,,,MCS7130230.1@GCA_025058955.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp025058955,Archaeoglobaceae archaeon,263.0,DB prokaryotes (GTDB 214 subset)
MCS7131040.1@GCA_025058955.1,,,MCS7131040.1@GCA_025058955.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp025058955,Archaeoglobaceae archaeon,89.0,DB prokaryotes (GTDB 214 subset)
JANXDV010000019.1_2,,JANXDV010000019.1_2,,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp025058955,,264.0,Wider GTDB 214
A0A1M7C1A1,A0A1M7C1A1,NZ_AQXI01000005.1_93,WP_139025500.1@GCF_000376445.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,Haladaptatus paucihalophilus DX253,287.0,DB prokaryotes (GTDB 214 subset)
WP_082837828.1@GCF_001625445.1,,NZ_LWHG01000021.1_1133,WP_082837828.1@GCF_001625445.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp001625445,Haladaptatus sp. R4,266.0,DB prokaryotes (GTDB 214 subset)
WP_231186491.1@GCF_021083305.1,,NZ_JAJFAY010000003.1_196,WP_231186491.1@GCF_021083305.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp021083305,Haladaptatus sp. DYF46,285.0,DB prokaryotes (GTDB 214 subset)
CP100465.1_75@GCA_024227995.1,,,CP100465.1_75@GCA_024227995.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp024227995,Halobacteriaceae archaeon GSLN9,247.0,DB prokaryotes (GTDB 214 subset)
CP100465.1_75,,CP100465.1_75,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp024227995,,247.0,Wider GTDB 214
WP_202935063.1@GCF_004143485.2,,NZ_ML974131.1_203,WP_202935063.1@GCF_004143485.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus amylolyticus,Halorussus amylolyticus,289.0,DB prokaryotes (GTDB 214 subset)
NZ_CP035119.1_1595,,NZ_CP035119.1_1595,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,,288.0,Wider GTDB 214
NZ_CP035119.1_2349,,NZ_CP035119.1_2349,,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,,288.0,Wider GTDB 214
WP_135825305.1@GCF_004765785.1,,,WP_135825305.1@GCF_004765785.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus ruber,Halorussus ruber,681.0,DB prokaryotes (GTDB 214 subset)
WP_135852295.1@GCF_004765815.2,,NZ_ML974127.1_156,WP_135852295.1@GCF_004765815.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,Halorussus salinus,287.0,DB prokaryotes (GTDB 214 subset)
WP_135854137.1@GCF_004765815.2,,,WP_135854137.1@GCF_004765815.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,Halorussus salinus,680.0,DB prokaryotes (GTDB 214 subset)
WP_202932656.1@GCF_004765815.2,,NZ_SBIS02000007.1_351,WP_202932656.1@GCF_004765815.2,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,Halorussus salinus,288.0,DB prokaryotes (GTDB 214 subset)
