query	target	evalue	bits	tstart	tend	taxlineage
Halocin_H4	NC_017943.1_248	7.295E-233	723	1	359	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax mediterranei
Halocin_H4	NZ_AOIP01000056.1_97	2.720E-100	340	48	347	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrialba;s_Natrialba aegyptia
Halocin_H4	NZ_AOIJ01000063.1_217	2.408E-93	320	1	276	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrinema;s_Natrinema gari
Halocin_H4	NZ_AOIN01000078.1_1	1.911E-42	172	6	156	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrialba;s_Natrialba chahannaoensis
Halocin_H4	NZ_CP095757.1_544	7.898E-28	128	59	279	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Halovivax;s_Halovivax limisalsi
Halocin_H4	AOIR01000063.1_62	1.959E-27	127	60	280	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Natrinema;s_Natrinema thermotolerans
Halocin_H4	NZ_CP044129.1_261	1.627E-26	124	58	281	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloarculaceae;g_Halomicrobium;s_Halomicrobium sp009617995
Halocin_H4	QEXZ01000077.1_7	1.049E-11	79	67	260	d_Archaea;p_Halobacteriota;c_Syntropharchaeia;o_ANME-1;f_ANME-1;g_QEXZ01;s_QEXZ01 sp003160755
Halocin_H4	QBUL01000183.1_4	1.413E-10	76	67	260	d_Archaea;p_Halobacteriota;c_Syntropharchaeia;o_ANME-1;f_ANME-1;g_QEXZ01;s_QEXZ01 sp013180605
Halocin_H4	NZ_CP009517.1_2169	1.735E-28	130	69	300	d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina barkeri A
