id,assembly_accession,protein_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,uniprot_id,length
WP_148183473.1@GCF_000008665.1,GCF_000008665.1,WP_148183473.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,Archaeoglobus fulgidus DSM 4304,,195
MCS7130230.1@GCA_025058955.1,GCA_025058955.1,MCS7130230.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp025058955,Archaeoglobaceae archaeon,,263
MCS7131040.1@GCA_025058955.1,GCA_025058955.1,MCS7131040.1,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp025058955,Archaeoglobaceae archaeon,,89
WP_139025500.1@GCF_000376445.1,GCF_000376445.1,WP_139025500.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,Haladaptatus paucihalophilus DX253,A0A1M7C1A1,287
WP_082837828.1@GCF_001625445.1,GCF_001625445.1,WP_082837828.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp001625445,Haladaptatus sp. R4,,266
WP_231186491.1@GCF_021083305.1,GCF_021083305.1,WP_231186491.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp021083305,Haladaptatus sp. DYF46,,285
CP100465.1_75@GCA_024227995.1,GCA_024227995.1,CP100465.1_75,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp024227995,Halobacteriaceae archaeon GSLN9,,247
WP_202935063.1@GCF_004143485.2,GCF_004143485.2,WP_202935063.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus amylolyticus,Halorussus amylolyticus,,289
WP_208023473.1@GCF_004087835.1,GCF_004087835.1,WP_208023473.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,Halorussus pelagicus,,288
WP_166035560.1@GCF_004087835.1,GCF_004087835.1,WP_166035560.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus,Halorussus pelagicus,,288
WP_135825305.1@GCF_004765785.1,GCF_004765785.1,WP_135825305.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus ruber,Halorussus ruber,,681
WP_135852295.1@GCF_004765815.2,GCF_004765815.2,WP_135852295.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,Halorussus salinus,,287
WP_135854137.1@GCF_004765815.2,GCF_004765815.2,WP_135854137.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,Halorussus salinus,,680
WP_202932656.1@GCF_004765815.2,GCF_004765815.2,WP_202932656.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus,Halorussus salinus,,288
WP_163522828.1@GCF_010747475.1,GCF_010747475.1,WP_163522828.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp010747475,Halorussus sp. MSC15.2,A0A6G3ZMD2,212
WP_253478286.1@GCF_024138125.1,GCF_024138125.1,WP_253478286.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus sp024138125,Halorussus sp. YCN54,,289
WP_079979488.1@GCF_004799665.1,GCF_004799665.1,WP_079979488.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum,Halapricum salinum,A0A4D6HFK7,277
