LABELS
SEPARATOR COMMA
DATA
WP_148183473.1_GCF_000008665.1,Archaeoglobus fulgidus (WP_148183473.1)
MCS7130230.1_GCA_025058955.1,WYZ-LMO2 sp025058955 (MCS7130230.1)
MCS7131040.1_GCA_025058955.1,WYZ-LMO2 sp025058955 (MCS7131040.1)
WP_139025500.1_GCF_000376445.1,Haladaptatus paucihalophilus (A0A1M7C1A1)
WP_082837828.1_GCF_001625445.1,Haladaptatus sp001625445 (WP_082837828.1)
WP_231186491.1_GCF_021083305.1,Haladaptatus sp021083305 (WP_231186491.1)
CP100465.1_75_GCA_024227995.1,Haladaptatus sp024227995 (CP100465.1_75)
WP_202935063.1_GCF_004143485.2,Halorussus amylolyticus (WP_202935063.1)
WP_208023473.1_GCF_004087835.1,Halorussus pelagicus (WP_208023473.1)
WP_166035560.1_GCF_004087835.1,Halorussus pelagicus (WP_166035560.1)
WP_135825305.1_GCF_004765785.1,Halorussus ruber (WP_135825305.1)
WP_135852295.1_GCF_004765815.2,Halorussus salinus (WP_135852295.1)
WP_135854137.1_GCF_004765815.2,Halorussus salinus (WP_135854137.1)
WP_202932656.1_GCF_004765815.2,Halorussus salinus (WP_202932656.1)
WP_163522828.1_GCF_010747475.1,Halorussus sp010747475 (A0A6G3ZMD2)
WP_253478286.1_GCF_024138125.1,Halorussus sp024138125 (WP_253478286.1)
WP_079979488.1_GCF_004799665.1,Halapricum salinum (A0A4D6HFK7)
WP_137685344.1_GCF_005406125.1,Haloarcula mannanilytica (A0A4C2ENS6)
WP_248907559.1_GCF_023276375.1,Halocatena sp023276375 (WP_248907559.1)
WP_164731977.1_GCF_000023965.1,Halomicrobium mukohataei (WP_164731977.1)
WP_153552385.1_GCF_009617995.1,Halomicrobium sp009617995 (WP_153552385.1)
WP_135663906.1_GCF_900880625.1,Halorhabdus rudnickae (WP_135663906.1)
WP_136361702.1_GCF_008124605.1,Halobacterium salinarum (A0A895AJK3)
WP_136361253.1_GCF_008124605.1,Halobacterium salinarum (WP_136361253.1)
WP_009762310.1_GCF_000230955.2,Halobacterium sp000230955 (WP_009762310.1)
WP_195156013.1_GCF_000334895.1,Halococcus agarilyticus (WP_195156013.1)
WP_161606962.1_GCF_000336935.1,Halococcus salifodinae (WP_161606962.1)
WP_234299077.1_GCF_021431925.1,Halobaculum sp021431925 (WP_234299077.1)
WP_004975848.1_GCF_000336775.1,Haloferax gibbonsii (WP_004975848.1)
WP_206536420.1_GCF_000336955.1,Haloferax larsenii (WP_206536420.1)
WP_004043226.1_GCF_000025685.1,Haloferax volcanii (A0A8T5C7M9)
WP_197427780.1_GCF_900115675.1,Halolamina pelagica (WP_197427780.1)
CP002989.1_262_GCA_000224475.1,Halolamina sp000224475 (AEN07551.1)
AEN07551.1_GCA_000224475.1,Halolamina sp000224475 (AEN07551.1)
WP_197427780.1_GCF_002355655.1,Halorubrum trapanicum A (A0A1I5UQF1)
WP_049926653.1_GCF_000455345.1,Halopiger A goleimassiliensis (WP_049926653.1)
WP_174681857.1_GCF_013342145.1,Haloterrigena gelatinilytica (WP_174681857.1)
WP_174682227.1_GCF_013342145.1,Haloterrigena gelatinilytica (WP_174682227.1)
WP_211338378.1_GCF_003977755.1,Haloterrigena salifodinae (WP_211338378.1)
WP_008892994.1_GCF_000337495.1,Haloterrigena salina (WP_008892994.1)
WP_008893279.1_GCF_000337495.1,Haloterrigena salina (WP_008893279.1)
WP_083870254.1_GCF_000337495.1,Haloterrigena salina (WP_083870254.1)
WP_012943185.1_GCF_000025325.1,Haloterrigena turkmenica (D2RT16)
WP_012945653.1_GCF_000025325.1,Haloterrigena turkmenica (D2S212)
WP_161958287.1_GCF_003430825.1,Natrarchaeobaculum sulfurireducens (WP_161958287.1)
WP_124193256.1_GCF_003841465.1,Natrarchaeobius chitinivorans A (A0A3N6M7T8)
WP_007110057.1_GCF_000731985.1,Natrinema altunense (WP_007110057.1)
WP_241432498.1_GCF_000337175.1,Natrinema gari (WP_241432498.1)
WP_179261808.1_GCF_013402815.2,Natrinema halophilum (A0A7D5KJY3)
WP_179261544.1_GCF_013402815.2,Natrinema halophilum (A0A7D5KXX8)
OAQ51225.1_GCA_000690595.2,Natrinema mahii (OAQ51225.1)
WP_083864448.1_GCF_000337615.1,Natrinema pallidum (WP_083864448.1)
WP_083864503.1_GCF_000337615.1,Natrinema pallidum (WP_083864503.1)
WP_015298689.1_GCF_000230735.2,Natrinema pellirubrum (L0JJ00)
WP_015299009.1_GCF_000230735.2,Natrinema pellirubrum (L0JNK8)
WP_015299281.1_GCF_000230735.2,Natrinema pellirubrum (L0JQ08)
WP_081597641.1_GCF_000230735.2,Natrinema pellirubrum (WP_081597641.1)
WP_226039787.1_GCF_020405225.1,Natrinema sp020405225 (WP_226039787.1)
ELZ16389.1_GCA_000337115.1,Natrinema thermotolerans (ELZ16389.1)
AOIR01000038.1_26_GCA_000337115.1,Natrinema thermotolerans (AOIR01000038.1_26)
WP_157224598.1_GCF_000328685.1,Natronococcus occultus (WP_157224598.1)
WP_175459731.1_GCF_900108095.1,Natronorubrum sediminis (WP_175459731.1)
