assembly_accession,accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
GCF_000008665.1,RS_GCF_000008665.1,0,100.0,0.0,228,p__Euryarchaeota (UID49),153,0.0,2016837,92.58340984208591,1,1058303,48.58166544252662,2178400,RS_GCF_000008665.1,t,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus,type strain of species,LPSN,t,1,1,2178400,2178400,2178400,1,2924,NC_000917.1,2178400,1,114,NC_000917.1,2924,5400,0,100,AE000782.1785820.1788751,Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus DSM 4304,2178400,2178400,t,f,f,2178400,2178400,Complete Genome,ASM866v1,na,PRJNA224116,SAMN02603985,none,none,none,1999-12-22,GCA_000008665.1,none,full,none,none,none,1,0,Archaeoglobus fulgidus DSM 4304,2431,na,3,1,1,2178400,2178400,2178400,1999/12/22,0,2234,1,DSM 4304,TIGR,224325,d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus,d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus;x__Archaeoglobus fulgidus DSM 4304,0,2178400,11,46,assembly from type material,2178400,0,none,2518,1,2178400,1,none,none,none,none,none,none,1492,NC_000917.1,1492,2756,0,100,AE000782.1788987.1790478,Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus DSM 4304,0,19,46,0,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus
GCA_025058955.1,GB_GCA_025058955.1,12,84.02,0.0,228,p__Euryarchaeota (UID49),153,0.0,1006191,92.37508549499884,173,436107,40.12913626664238,1089245,GB_GCA_025058955.1,t,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp025058955,not type material,none,f,32,30,35970,35970,none,0,none,none,none,0,none,none,none,none,none,none,none,none,6281,6982,f,f,t,10661,10958,Scaffold,ASM2505895v1,na,PRJNA761511,SAMN30304940,173,10661,Malaysia: Sungkai; Perak,2022-09-07,GCA_025058955.1,derived from metagenome,full,SKYB18,brown biofilm from alkaline hot spring,3.9956 N 101.3933 E,0,0,Archaeoglobaceae archaeon,none,na,0,156,30,10958,6177,3831,2022/09/07,17,2511821,0,SKYB18,Universiti Teknologi Malaysia,2511821,d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;x__unclassified Archaeoglobaceae;s__Archaeoglobaceae archaeon,2474,1089245,11,33,none,1086771,0,JANXDV000000000.1,1344,156,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,2474,16,33,0,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,WYZ-LMO2 sp025058955
GCF_000376445.1,RS_GCF_000376445.1,5,99.08,0.85,359,f__Halobacteriaceae (UID84),235,0.0,3707634,85.87376144749093,6,2666785,61.76637826908178,4317540,RS_GCF_000376445.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Haladaptatus;s__Haladaptatus paucihalophilus,type strain of species,LPSN,t,1,1,2950504,2950504,2950504,2,2901,NZ_AQXI01000001.1,2950504,2,115,NZ_AQXI01000001.1,2901,5358,0,100,AQXI01000001.2130626.2133538,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus paucihalophilus DX253,719590,719590,t,f,f,2950504,2950504,Contig,ASM37644v1,na,PRJNA224116,SAMN02441396,6,2950504,USA,2013-04-20,GCA_000376445.1,none,full,none,none,34.996 N 98.688 W,0,0,Haladaptatus paucihalophilus DX253,4262,na,6,none,none,none,none,none,2013/04/20,0,367189,2,DX253,DOE Joint Genome Institute,797209,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__Haladaptatus paucihalophilus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__Haladaptatus paucihalophilus;x__Haladaptatus paucihalophilus DX253,0,4317540,11,50,assembly from type material,4317540,0,AQXI00000000.1,4391,6,2950504,2,1471,2627,0,98.912,734809,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__,1472,NZ_AQXI01000001.1,1459,2695,0,100,AQXI01000001.2128739.2130197,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus paucihalophilus DX253,0,19,49,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus
GCF_001625445.1,RS_GCF_001625445.1,0,98.69,0.85,359,f__Halobacteriaceae (UID84),235,0.0,4119573,84.12968014746276,34,2947063,60.18474913890882,4896694,RS_GCF_001625445.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Haladaptatus;s__Haladaptatus sp001625445,not type material,none,f,3,3,1088768,1088768,4318,1,2901,NZ_LWHG01000014.1,4318,1,114,NZ_LWHG01000014.1,2889,5336,0,100,LWHG01000014.1108.3996,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus sp. R4,144020,144020,t,f,f,529312,529312,Contig,ASM162544v1,na,PRJNA224116,SAMN04592497,34,529312,India: Ramnagar; Midnapur; West Bengal.,2016-04-21,GCA_001625445.1,none,full,none,saltern,21.66 N 87.53999999 E,0,0,Haladaptatus sp. R4,4839,na,6,none,none,none,none,none,2016/04/21,0,1679489,4,R4,The University of Burdwan,1679489,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;x__unclassified Haladaptatus;s__Haladaptatus sp. R4,0,4896694,11,49,none,4896694,0,LWHG00000000.1,5361,34,76550,4,938,1616,0,97.761,734809,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__,940,NZ_LWHG01000006.1,940,1736,0,100,LWHG01000006.1.942,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus sp. R4,0,19,49,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp001625445
GCF_021083305.1,RS_GCF_021083305.1,0,99.08,1.63,359,f__Halobacteriaceae (UID84),235,20.0,4741663,83.44695620465703,29,3365175,59.22259992876059,5682248,RS_GCF_021083305.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Haladaptatus;s__Haladaptatus sp021083305,not type material,none,f,2,2,2014062,2014062,4317,1,2904,NZ_JAJFAY010000020.1,4317,1,115,NZ_JAJFAY010000020.1,2906,5055,0,98.107,AEMG01000026.154.3063,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus paucihalophilus DX253,195939,195939,t,f,f,950992,950992,Contig,ASM2108330v1,na,PRJNA224116,SAMN22447313,29,950992,China: Shandong,2021-12-06,GCA_021083305.1,none,full,none,sediment,none,0,0,Haladaptatus sp. DYF46,none,na,5,none,none,none,none,none,2021/12/06,0,2886041,3,DYF46,Jiangsu University,2886041,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haladaptatus;x__unclassified Haladaptatus;s__Haladaptatus sp. DYF46,0,5682248,11,60,none,5682248,0,JAJFAY000000000.1,5931,29,950992,3,none,none,none,none,none,none,940,NZ_JAJFAY010000002.1,940,1692,0,99.149,AB663347.1.1473,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus paucihalophilus,0,19,59,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp021083305
GCA_024227995.1,GB_GCA_024227995.1,0,99.08,2.77,359,f__Halobacteriaceae (UID84),235,0.0,3198720,85.94142306628977,4,2526959,67.8929235726067,3721977,GB_GCA_024227995.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Haladaptatus;s__Haladaptatus sp024227995,not type material,none,f,1,1,2870650,2870650,2870650,2,2899,CP100465.1,2870650,2,111,CP100465.1,2909,3783,0,90.272,CP019285.2476246.2479145,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;Halobiforma lacisalsi AJ5,930494,930494,t,f,f,2870650,2870650,Complete Genome,ASM2422799v1,na,PRJNA854382,SAMN29438988,none,none,China: Xinjiang,2022-07-13,GCA_024227995.1,none,full,none,sediment,none,4,none,Halobacteriaceae archaeon GSLN9,none,na,none,4,1,2870650,2870650,358865,2022/07/13,0,1702103,none,GSLN9,Jiangsu University,1702103,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;x__unclassified Halobacteriaceae;s__Halobacteriaceae archaeon GSLN9,0,3721977,none,none,none,3721977,0,none,3765,4,2870650,2,none,none,none,none,none,none,1472,CP100465.1,1472,2675,0,99.457,KR012970.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Halobacteriaceae archaeon GSLN9,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus sp024227995
GCF_004143485.2,RS_GCF_004143485.2,0,99.5,1.7,359,f__Halobacteriaceae (UID84),235,50.0,3249171,85.9737583478666,55,2442355,64.63122028077416,3779259,RS_GCF_004143485.2,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Halorussus;s__Halorussus amylolyticus,type strain of species,LPSN,f,10,4,268198,785162,2529,2,2250,NZ_RXOB02000055.1,2529,2,117,NZ_RXOB02000055.1,2258,3027,0,90.965,JDTH01000003.346.3250,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;Haladaptatus cibarius D43,68707,188962,t,f,f,119991,349608,Scaffold,ASM414348v2,na,PRJNA224116,SAMN10601653,55,119991,China: Shanxi Province; Yuncheng Salt Lake,2020-01-27,GCA_004143485.2,none,full,none,inland salt lake,none,0,0,Halorussus amylolyticus,none,representative genome,9,20,4,349608,216420,115478,2020/01/27,35,1126242,3,YC93,Jiangsu University,1126242,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus amylolyticus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus amylolyticus,350,3779259,11,50,assembly from type material,3778909,0,RXOB00000000.2,3858,20,2845,3,none,none,none,none,none,none,1472,NZ_RXOB02000054.1,1475,2586,0,98.373,JQ237117.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus;Halorussus amylolyticus,350,19,49,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus amylolyticus
GCF_004087835.1,RS_GCF_004087835.1,0,99.49,0.85,359,f__Halobacteriaceae (UID84),235,0.0,2994375,85.77600085249635,4,2226252,63.77257138797636,3490924,RS_GCF_004087835.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Halorussus;s__Halorussus pelagicus,type strain of species,LPSN,f,1,1,3017361,3017361,3017361,3,2907,NZ_CP035119.1,3017361,3,118,NZ_CP035119.1,2915,3448,0,88.165,LTAZ01000003.276097.279004,Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;Halalkalicoccus paucihalophilus,872731,872731,t,f,f,3017361,3017361,Complete Genome,ASM408783v1,na,PRJNA224116,SAMN10724366,none,none,China:Rongcheng; Shandong Province,2019-01-21,GCA_004087835.1,none,full,none,salted brown alga Laminaria,none,4,0,Halorussus pelagicus,none,representative genome,9,4,1,3017361,3017361,303357,2019/01/21,0,2505977,3,RC-68,Jiangsu University,2505977,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus pelagicus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus pelagicus,0,3490924,11,48,assembly from type material,3490924,0,none,3515,4,3017361,3,none,none,none,none,none,none,1472,NZ_CP035119.1,1472,2691,0,99.66,MH062880.1.1472,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus;Halorussus sp.,0,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus
GCF_004765785.1,RS_GCF_004765785.1,0,99.93,1.06,359,f__Halobacteriaceae (UID84),235,33.33,3608866,83.57131625889498,35,2771271,64.17553615837093,4318307,RS_GCF_004765785.1,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Halorussus;s__Halorussus ruber,type strain of species,LPSN,f,6,5,510403,510403,4716,1,2903,NZ_SBIT01000027.1,336813,3,115,NZ_SBIT01000008.1,2909,3666,0,89.515,LTAZ01000003.276097.279004,Archaea;Halobacterota;Halobacteria;Halobacterales;Halococcaceae;Halalkalicoccus;Halalkalicoccus paucihalophilus,123379,139300,t,f,f,325637,345812,Scaffold,ASM476578v1,na,PRJNA224116,SAMN10721380,35,325637,China: Yuncheng salt lake in Shanxi,2019-03-29,GCA_004765785.1,none,full,none,an inland salt lake,none,0,0,Halorussus ruber,none,representative genome,7,31,5,345812,248120,158582,2019/03/29,4,1126238,3,YC25,Jiangsu University,1126238,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus ruber,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus ruber,40,4318307,11,51,assembly from type material,4318267,0,SBIT00000000.1,4337,31,4716,4,none,none,none,none,none,none,987,NZ_SBIT01000027.1,987,1823,0,100,JQ237116.1.1471,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus;Halorussus ruber,40,19,50,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus ruber
GCF_004765815.2,RS_GCF_004765815.2,0,99.5,0.85,359,f__Halobacteriaceae (UID84),235,0.0,4068505,85.59440650655543,16,3095014,65.11450107054489,4753237,RS_GCF_004765815.2,t,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Halorussus;s__Halorussus salinus,type strain of species,LPSN,f,4,3,1048276,1585202,5266,1,2907,NZ_SBIS02000015.1,5266,1,106,NZ_SBIS02000015.1,2923,3600,0,89.121,CP003050.200192.203101,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halovivax;Halovivax ruber XH-70,297074,432112,t,f,f,377066,688985,Scaffold,ASM476581v2,na,PRJNA224116,SAMN10721319,16,377066,China: Yangjiang marine solar saltern; Guangdong Province,2020-01-27,GCA_004765815.2,none,full,none,a marine solar saltern,none,0,0,Halorussus salinus,none,representative genome,3,11,3,688985,322389,219066,2020/01/27,5,1364935,1,YJ-37-H,Jiangsu University,1364935,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus salinus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus;s__Halorussus salinus,50,4753237,11,48,assembly from type material,4753187,0,SBIS00000000.2,4724,11,5266,1,none,none,none,none,none,none,1471,NZ_SBIS02000015.1,1471,2706,0,99.864,KC918821.1.1471,Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus;Halorussus salinus,50,19,47,0,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus salinus
